epoch_no,view,total_pct_staked,non_compliant_pct,marginal_pct,compliant_pct,exemplary_pct
210,spo_only,22.4258,15.1052,6.5887,0.4891,0.2428
210,filtered_proxy,29.1957,19.8498,8.5033,0.5167,0.3259
250,spo_only,27.3665,22.0845,4.9757,0.2840,0.0223
250,filtered_proxy,33.3757,25.9749,7.0652,0.3061,0.0295
400,spo_only,24.8004,18.3735,5.8460,0.5024,0.0786
400,filtered_proxy,30.5269,20.2221,8.5740,0.5115,1.2193
410,spo_only,25.7098,18.7360,6.3586,0.5376,0.0776
410,filtered_proxy,31.7476,20.6985,9.2021,0.5586,1.2883
548,spo_only,27.9529,23.1330,4.2825,0.4817,0.0557
548,filtered_proxy,35.4138,23.6349,7.1642,2.5303,2.0845
583,spo_only,28.0047,23.1117,4.1092,0.7346,0.0492
583,filtered_proxy,37.1585,23.4981,6.8663,2.7591,4.0351
615,spo_only,24.9623,19.2875,4.1878,0.3991,1.0879
615,filtered_proxy,36.1914,19.3815,6.8301,2.3518,7.6279
618,spo_only,25.0092,19.5395,4.0185,0.3759,1.0753
618,filtered_proxy,36.2878,19.5395,7.2175,2.3354,7.1955
