entity_id,display_name,archetype,reward_from_unmet_ada,pledge_unmet_epoch_cnt,pool_cnt,reward_share_of_mpo_unmet_pct
DIGI,DIGI,opaque_fleet,18857771.346972,831,6,14.173082353205904
SECUR,SECUR,community_branded_fleet,16652459.683569,624,5,12.515619058906546
ONE_PERCENT,1PCT,independent_mpo,15188315.148039995,2772,31,11.415200526025087
NUFI,NuFi,platform,10488665.166919995,859,24,7.883047919648741
EDEN,EDEN,opaque_fleet,9595783.486659,417,5,7.211977868306753
COOL,COOL,multi_brand_fleet,9260333.367058003,598,6,6.95986100449394
CRDNS,CRDNS,multi_brand_fleet,7251406.107617004,459,9,5.449995869013369
BLOOM,Bloom,independent_mpo,5763081.614612998,225,12,4.331404216822916
WAVE,Wave / Wavepool,independent_mpo,5368642.687310001,1457,31,4.034952674532197
JOY,HOPE,multi_brand_fleet,5145093.030140998,385,9,3.8669377143976855
LINKTR_EE,ADAOZ,capital_insufficient,4621631.627989997,191,2,3.4735157439588487
EMURGO,Emurgo,ecosystem,3927748.857730999,573,48,2.952008856140392
TITAN,TITAN,community_branded_fleet,3759605.290268001,164,2,2.8256358831645816
BMTXS_GITHUB_IO,RETIR,capital_insufficient,2864631.7438140004,71,3,2.1529936316256655
XSP,XSP,capital_insufficient,2798004.2090129997,109,2,2.1029178554190935
