pool_id,ticker,stake_ada,pledge_ada,nu,pi,A,base,bonus,E,reward_at_pbar1_ada
pool1vhz87537anw4u0ruqsyuftyh7zxnrxptr4nnv0m6mjgeu8kp83z,,76324575,76000000,0.991373,0.987157,0.970233,0.762594,0.223900,0.986494,30647
pool1r99a6puhdv2xzcfw05jjqvks3xhmy2l4wsndx9hmhudvu4yevz5,,76324020,76000000,0.991366,0.987157,0.970219,0.762589,0.223897,0.986486,30647
pool18rjrygm3knlt67n3r3prlhnzcjxun7wa8d3l8w9nmlpasquv4au,CF1,76315167,76000000,0.991251,0.987157,0.969994,0.762500,0.223845,0.986345,30643
pool1n6erydn8x79sa3fmrqmj7mcyqa9em5fppr447j6d9k0xwfl7sc5,CF4,76301500,76000000,0.991073,0.987157,0.969645,0.762364,0.223764,0.986128,30636
pool1xmlq3sgssww6kwu8dupgxukzhlk77j40p9c4r3qux3j5z2ysk2c,CF2,76301500,76000000,0.991073,0.987157,0.969645,0.762364,0.223764,0.986128,30636
pool1l0erdjregched3dj828q93rfa2f4w4p62nr248xshj5huq6zuvp,CF3,76301500,76000000,0.991073,0.987157,0.969645,0.762364,0.223764,0.986128,30636
pool1yafxktvszg85t5m20l8q8sufgcae6cxlk8cx96wrt8cdva7aknf,,76271303,76000000,0.990681,0.987157,0.968876,0.762062,0.223587,0.985649,30621
pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,,76330348,75500000,0.991448,0.980662,0.964051,0.762652,0.222473,0.985125,30605
pool1rkm8rplkafvllxjuddrkqc3u3lgd9uf327tvmvfdyygsv7lkhm8,,75527054,75500000,0.981014,0.980662,0.943784,0.754626,0.217796,0.972422,30210
pool1r9fpxs4kcn80kylsjxs8tg3p50nk2s66qerfqtw4x70n5740nj9,,76236515,71000000,0.990229,0.922212,0.904891,0.761715,0.208821,0.970536,30152
pool1kmmahq4upmm5j8fkh3xa9vd7gdffkp8pd4axucfh4w4dw549yqe,,76193763,71000000,0.989674,0.922212,0.903907,0.761287,0.208594,0.969881,30131
pool1luhm55xxqp0cv7a43rcfrr8m6m74kfe7wdvqdgfzt483x29lr0t,CF5,75500026,73000000,0.980663,0.948190,0.912469,0.754356,0.210570,0.964926,29977
pool1a5ld0eulnjxwpg6qyjs6hxzqwj0esft7k0qsf6nj8pkfxy5lml3,,74036148,73000000,0.961649,0.948190,0.877345,0.739730,0.202464,0.942194,29271
pool1cxjqg6nn588ura2rx4uptwprgzw82j89j2gjguwhtun4ypw2sh4,,74034785,73000000,0.961631,0.948190,0.877313,0.739716,0.202457,0.942173,29270
pool1hv59awqky90plv68xun2k3rd7jqfe5y2c4ry8f7p0x9pxhd7wqr,,74033117,73000000,0.961609,0.948190,0.877273,0.739699,0.202448,0.942147,29270
pool1ntlyr9hrrdg3gpdkmr267hq46ys2rlj5y25dzx3reuecgd7p5sh,,74031521,73000000,0.961588,0.948190,0.877234,0.739683,0.202439,0.942122,29269
pool1yyar66t9fw9dscj8huhredgwplcnf22zq7q7vugur0t5c9nzt97,,74027530,73000000,0.961537,0.948190,0.877139,0.739644,0.202417,0.942060,29267
pool1kphkk90f2mculhcndpdd3a7ukvptzqrgyr9jtuvw6c5z2dptuph,,74022344,73000000,0.961469,0.948190,0.877014,0.739592,0.202388,0.941980,29264
pool1nqheyct9a0mxn80cwp9pd5guncfu3rzwqtmru0l94accz7gjcgl,CAG,73189070,73000000,0.950646,0.948190,0.857021,0.731266,0.197774,0.929040,28862
pool1l0m820vyqh5pp2yzpw973qzz23neqqd977u0uczh9fs9zqvg0je,,76117900,50000000,0.988688,0.649445,0.637328,0.760529,0.147076,0.907605,28197
pool155p7g23vdme50kp5lfqylfx5h7ndldyz2mletvr8fqucqzyrk44,,74536462,50000000,0.968147,0.649445,0.615324,0.744729,0.141998,0.886726,27548
pool13c9mnvfx4nvwvkszxcprwlv60fh3tteef50hhhv9yxptsua2v70,DARK,71075188,68000000,0.923189,0.883246,0.755481,0.710145,0.174342,0.884487,27478
pool1ljqjqskd4f4zekzddw204u5xtzhyz2cllq5v5dmn27zdwf9c70f,,74999944,30000000,0.974167,0.389667,0.375679,0.749359,0.086695,0.836054,25974
pool1w4cetqsly2cz9fq2te95tnk2r56mh6ew6dmpyfctv2ldv8xuj9g,,74920142,30000000,0.973131,0.389667,0.375117,0.748562,0.086566,0.835128,25945
pool1r2fph82mjhgu955cesn4yejjva4sk7uuh06yhwf8e9ln5djy5h7,CF6,75500002,14750000,0.980662,0.191586,0.187172,0.754356,0.043193,0.797549,24777
pool1457cnl7qu568h98xrw8krfnjkhf05mfhaq2l50epwy36yuln20q,,70527329,35000000,0.916073,0.454612,0.399112,0.704671,0.092103,0.796774,24753
pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,CH1,76593025,3000000,0.994860,0.038967,0.038759,0.765277,0.008944,0.774221,24053
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADV,76981439,250000,0.999905,0.003247,0.003247,0.769157,0.000749,0.769907,23919
pool12t3zmafwjqms7cuun86uwc8se4na07r3e5xswe86u37djr5f0lx,NORTH,77760874,10000,1.010029,0.000130,0.000130,0.769231,0.000030,0.769261,23899
pool1gaztx97t53k47fr7282d70tje8323vvzx8pshgts30t9krw62tm,TW001,115652622,100,1.502201,0.000001,0.000001,0.769231,0.000000,0.769231,23898
pool1k3nkfa5ugavrpd9nwd3s6yyx454qxnquxwmux4rzfunl7q0z38t,KILN9,95374061,100,1.238805,0.000001,0.000001,0.769231,0.000000,0.769231,23898
pool19yzqr3meksnvzdxh5xf6aknfhldyqdj7eaquxgcjva4mzt5kg3v,gjp7a,89734278,2,1.165550,0.000000,0.000000,0.769231,0.000000,0.769231,23898
pool1f2wfjqkf2wx6jq93pdck6hgmy9zgw32lmvrq9zejl7scqxjqfze,,92701798,2,1.204095,0.000000,0.000000,0.769231,0.000000,0.769231,23898
pool1ra2su7cvnmr83pu9nvvz4a9carsgc9egc3e5fuk7h9pycyp5ela,LBF4,82760831,2,1.074973,0.000000,0.000000,0.769231,0.000000,0.769231,23898
pool12m7z9p7jqymxrvvp6z7vmfdu6j6u6y43p0m6y4xalz43sc8s4t9,N/A,120463301,0,1.564687,0.000000,0.000000,0.769231,0.000000,0.769231,23898
pool1mtxmk0skqkr5y0wxnxps4n35j6wn9q8dfr82y423vvlp53vccux,KILN3,75879797,100,0.985596,0.000001,0.000001,0.758150,0.000000,0.758151,23553
pool10d6mmw3mn9ku3r7uqqye672dz3sv76lh5kvh5rdpr9l5ug5yknr,KILN4,75785444,100,0.984370,0.000001,0.000001,0.757208,0.000000,0.757208,23524
pool1v62c7d92xv6gyh4x9rhfpkwzlpw2ypxk92xvzavakg3xypatklv,KILN2,75729814,100,0.983647,0.000001,0.000001,0.756652,0.000000,0.756652,23507
pool16agnvfan65ypnswgg6rml52lqtcqe5guxltexkn82sqgj2crqtx,SPIRE,75421953,1000000,0.979649,0.012989,0.012721,0.753576,0.002936,0.756512,23503
pool1mfyzxyggryp0jhgghvzas7qjdyz2rcfnm5rfq8s9uefvukrlps5,,75552335,200,0.981342,0.000003,0.000003,0.754879,0.000001,0.754879,23452
pool1k633phcvz2hjhj45evwwau4w576jpq83acg5h84w23jauqu56cw,NORTH,74702302,10000,0.970301,0.000130,0.000126,0.746386,0.000029,0.746415,23189
pool16ajaae2n5lsyr4f9k9uz5y8tpf0996tw640dzu7chwp2wdrnz6a,BLADE,74295766,500000,0.965021,0.006494,0.006266,0.742324,0.001446,0.743770,23107
pool1eqa7kxx4xg35cu4rqj4exkvzhenscgh8wxez0gl7hsagygp79kr,PILOT,74050012,1050000,0.961829,0.013638,0.013111,0.739868,0.003026,0.742894,23079
pool1xsj9s3mfpztls97x7jjql0msmeh5v3wa5vyqhmmmsx8jzsqxrsv,,73940711,100,0.960409,0.000001,0.000001,0.738776,0.000000,0.738776,22952
pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,ADALO,73662630,200000,0.956797,0.002598,0.002485,0.735998,0.000574,0.736571,22883
pool1lfvzgsrghmugvpym868mh29288ez0nncz680mamzjygu2jpuwcd,NORTH,73471919,10000,0.954320,0.000130,0.000124,0.734092,0.000029,0.734121,22807
pool17rjst78s67lvellg8s586rf076jxa3wnsdz730f4xk2zwuhrtej,NORTH,73387015,10000,0.953217,0.000130,0.000124,0.733244,0.000029,0.733272,22781
pool1ahazpr2yz5gljk2m4q8g7wnmq7m2sr9unhdfmr5arhqrjnntwdz,ADV3,73118983,250000,0.949736,0.003247,0.003083,0.730566,0.000712,0.731277,22719
