group_label,active_pools,current_stake_b_ada,current_pct_supply,sample_domains,adastat_labels,balanceanalytics_labels
NORTH,5,0.367,0.95,bit.ly (5),nordicpool.org (5),NORTH (5)
ADV,4,0.264,0.69,adavault.com (4),adavault.com (4),ADV (4)
SECUR,5,0.236,0.61,cardano.securestaking.io (5),cardano.securestaking.io (5),SECUR (5)
CRDNS,9,0.228,0.59,"cardanians.io (7), 37.59.55.35 (1), pool.cardanoyoda.com (1)",cardanians.io (8),"CRDNS (8), SINGLEPOOL (1)"
CCV,5,0.178,0.46,raw.githubusercontent.com (5),ccv3000.github.io (5),CCV (5)
DIGI,6,0.171,0.44,digi.pro (6),digi.pro (6),DIGI (6)
EDEN,5,0.165,0.43,garden-pool.com (5),garden-pool.com (5),EDEN (5)
MS,4,0.156,0.4,git.io (4),moonstake.io (4),MS (4)
DAPP,8,0.141,0.37,"azureada.com (4), apexfusionhosting.com (3), www.threenext.com (1)",dappcentral.net (8),"AZUR (3), DAPP (3)"
TITAN,2,0.137,0.36,www.titanstaking.io (2),titanstaking.io (2),TITAN (2)
ATADA,4,0.131,0.34,"stakepool.at (3), tinyurl.com (1)",stakepool.at (3),"ATADA (2), SINGLEPOOL (2)"
NEDS,4,0.123,0.32,nedscave.io (4),nedscave.io (4),NEDS (4)
AICHI,2,0.123,0.32,aichi-stakepool.com (2),aichi-stakepool.com (2),AICHI (2)
SIPO,3,0.114,0.3,sipo.tokyo (3),sipo.tokyo (3),SIPO (3)
5BINARIES,6,0.102,0.27,stakenuts.com (1),stake1u9km8m02yjujqj2at4v7ekehyzenrwkp3jszkka8psp4nmc6wqm9j (5),"5BINARIES (5), SINGLEPOOL (1)"
SPS,5,0.1,0.26,stakepoolservice.com (5),stakepoolservice.com (5),SPS (5)
FIMI,9,0.085,0.22,"git.io (4), bit.ly (4), tinyurl.com (1)","fimi.vn (3), t.me/StakingADA (2)","FIMI (7), KID (1)"
WEP,6,0.084,0.22,"bit.ly (3), ranket2.github.io (3)",ranket2.github.io (3),"WEP (4), SINGLEPOOL (2)"
COOL,6,0.082,0.21,www.stakecool.io (6),stakecool.io (6),COOL (6)
JOY,9,0.078,0.2,cardano.ipclub29.com (9),cardano.ipclub29.com (9),"CCJ (5), JOY (4)"
WESTBERG,9,0.069,0.18,cardanostakehouse.com (9),"bluecheesestakehouse.com (7), newm.io (1)",WESTBERG (9)
RAY,8,0.046,0.12,xray.app (8),xray.app (8),RAY (8)
KTO,10,0.038,0.1,"git.io (6), agoodaycoffee.com (1), bit.ly (1)",myadapoolnamerocks.com (10),"SINGLEPOOL (8), KTO (2)"
ADOSIA,16,0.029,0.07,raw.githubusercontent.com (16),adafrog.io (16),"SINGLEPOOL (9), ADOSIA (7)"
LEO,13,0.011,0.03,staking-fm.site (13),staking-fm.site (13),LEO (13)
THC,7,0.009,0.02,"funkyhiro.github.io (4), thc-room335.com (3)",thc-room335.com (7),"THC (4), SINGLEPOOL (3)"
MANGO,11,0.003,0.01,"raw.githubusercontent.com (4), git.io (3), loncho.github.io (1)",git.io/JOkNh (11),"SINGLEPOOL (9), MANGO (2)"
heysoftwareinnovation.com,8,0.003,0.01,"univocity.github.io (3), heysoftwareinnovation.com (2), cs15c75d94f9ad8x44e1x9d3.blob.core.windows.net (1)",heysoftwareinnovation.com (8),SINGLEPOOL (8)
NEW GUY,17,0.0,0.0,bit.ly (17),n/a,NEW GUY (17)
ASTRL,10,0.0,0.0,"6781230.xyz (1), 6781231.xyz (1), 6781232.xyz (1)",n/a,ASTRL (10)
