pool_id_bech32,label,is_mpo,entity_name,ticker,reward_from_unmet_ada,pledge_unmet_epoch_cnt,pledge_met_epoch_share_pct,mean_active_stake_ada
pool1lhz4gsk5ezdl5s4mv2kxgrkhzzhad6me2v0xmwuyt845vensdlc,SECUR,True,SECUR,SECUR,9908292.456964,365,5.684754521963824,57500528.46591779
pool103455uc7a3477q8pdmzvny884qtlv9vhm2csxvqx2cadwuk36sq,EDEN,True,EDEN,EDEN,8918759.604257999,369,4.1558441558441555,51139205.00160488
pool1ppznyu6qrvlw9uuqa3tslryjd40nh56jyvmaqw6kdf4kzq3y8kh,DIGI · DIGI3,True,DIGI,DIGI3,7637804.069117,369,5.141388174807198,41995344.836509734
pool126mkma8nv5axltmz7mmg8qz9e70nmhnf58hwx5772fhwgkhk6ag,NAP,False,,NAP,7542436.098086999,396,2.4630541871921183,36400257.8855119
pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,DIGI,True,DIGI,DIGI,7345552.050658,248,38.91625615763547,63895028.989507206
pool1ukeqarukv9gxwy9pt8jkr4qvad2yf87758g3xzemmvmtk8lrynp,CRDNS · CRDN1,True,CRDNS,CRDN1,7251406.107617004,300,26.108374384236456,50084078.93556894
pool1myvgx4ef424e6nw2strqq7dxcepav52plyyhxrk0avaw7y098l2,COOL · COOL2,True,COOL,COOL2,6524553.983247004,309,23.891625615763548,51934369.367448404
pool1w8ham64lthvzzxzn5hknq4yrj8xt2nark409s2xmntlwvt4ag3r,1PCT · 1PCT7,True,1PCT,1PCT7,5978334.275756996,312,23.15270935960591,48951115.09375572
pool1l37xvdpcl49kr3wscpjp9pr854g06nnjrlndtu3h7k6pvfapgap,pool1l37xv...fapgap,False,,,5754028.394420999,251,6.343283582089552,41368837.43997877
pool1qnrqc7zpwye2r9wtkayh2dryvfqs7unp99f2039duljrsaffq5c,NuFi · NUFI,True,NuFi,NUFI,5575640.175551995,345,0.0,41766092.726816446
pool1lkpj6fa4l0sy39qfvyl4pcsnnd22y8np8j98vzwula2kuxgers4,HOPE · JOY,True,HOPE,JOY,5145093.030140998,385,5.172413793103448,28441542.711539626
pool1jdhjfcu34lq88rypdtslzwyf27uh0h3apcr9mjd68zhc69r29fy,NuFi · NUFI5,True,NuFi,NUFI5,4905640.442718,368,1.6042780748663104,27525273.994129572
pool1vev8z03vh7jwx3mfrgzrt9fltt97nupaxv8ffj4r5r8mgwts5ze,ADAOZ,True,ADAOZ,ADAOZ,4621631.627989997,191,23.904382470119522,48296430.74191027
pool15yyxtkhz64p7a8cnax9l7u82s9t9hdhyxsa3tdm977qhgpnsuhq,SECUR,True,SECUR,SECUR,4398445.683839001,168,0.0,63068240.498196505
pool1u99x2rr6trfznwakv0959llmxmtgc2nvanc067uugl3ejuvvnc8,Wave / Wavepool,True,Wave / Wavepool,,4106705.864106002,183,48.01136363636363,36409234.741407245
