epoch_no,active_stake_ada,block_cnt,pool_fees_ada,deleg_rewards_ada,member_rewards_ada,owner_member_rewards_ada,total_pool_rewards_ada,rewarding_pool_cnt,pool_row_cnt
210,6057875150.904302,0,0.0,0.0,0.0,0.0,0.0,0,734
211,10177811974.82288,1991,383701.2547980001,6851787.877015005,6749423.042569996,102364.83444499996,7235489.131812995,255,890
212,12106602864.871832,4230,483334.929109,8433282.135124005,8295462.728071998,137819.407052,8916617.06423299,351,984
213,12758829109.784357,4625,522457.477496,9003798.277464004,8827347.790270997,176450.4871929999,9526255.754959995,369,1026
214,13382718156.0972,5120,547072.9598840007,9583536.852528993,9393908.681263002,189628.17126600014,10130609.812413,395,1070
215,13864141914.846119,5710,558108.3732340006,10030912.488284998,9838871.905360002,192040.5829249999,10589020.861519005,388,1106
216,14396547846.613792,5965,566495.0439120001,10232018.166963005,10043002.236456996,189015.93050600015,10798513.210874999,393,1119
217,14776118270.469759,6401,573776.97549,10479579.14082399,10284718.59312901,194860.5476950002,11053356.116313994,382,1139
218,14987431249.067879,6647,561177.4351960003,10366849.761286015,10172886.786259996,193962.9750259999,10928027.196482006,390,1133
219,15657991508.072977,7194,575154.2163140002,10748644.007060003,10539228.444141008,209415.5629189998,11323798.223373994,398,1141
220,15859988643.309525,7839,590799.0108380003,10986198.201587012,10792907.905942008,193290.29564500035,11576997.212425003,407,1150
221,16064098678.859695,8177,592841.741512,11050838.080104996,10849455.144002,201382.93610300001,11643679.821616996,411,1156
222,16371244779.82402,8522,725591.9162350004,11235319.635599008,11041562.276742015,193757.3588569999,11960911.551834008,405,1163
223,16743231852.83029,8892,711417.8005520001,11390277.599295985,11192267.516703,198010.0825929999,12101695.399847995,419,1171
224,16980957495.734692,9368,709833.4382169999,11619945.494924009,11386899.876967,233045.6179570001,12329778.933141004,424,1180
225,17096070009.862858,9735,704181.5551960003,11664220.539644003,11430192.781335998,234027.75830799993,12368402.094839998,437,1182
226,17208683641.999035,10254,699053.6482270001,11633010.45640199,11410385.120695015,222625.33570700017,12332064.104628993,443,1181
227,17260167504.45439,10375,936480.2160720002,11431163.428634001,11215449.96956101,215713.45907299995,12367643.644706018,445,1185
228,17348591975.63094,10851,894508.8617049999,11609626.408248013,11396115.259726,213511.14852200018,12504135.269953003,427,1187
229,19510155416.09179,11475,1026840.5835590002,13258911.93030399,13048794.747599008,210117.18270500025,14285752.513863005,434,1221
230,19636382936.67074,11902,1083200.8943760009,13257548.215751989,13039290.046010993,218258.16974100017,14340749.110128002,475,1264
231,19907907769.885452,12186,1076107.5559629994,13262883.098172005,13028248.830475004,234634.26769699977,14338990.654134996,490,1296
232,19977393570.330807,12614,1060901.151929,13298938.426132,13066091.980640015,232846.445492,14359839.578060996,515,1297
233,19917513128.733887,13262,1067592.2774859995,13464461.744255995,13220457.92831,244003.81594600013,14532054.021741994,537,1309
234,20094293921.5112,14235,949435.3514080006,10753443.043608,10533959.061051993,219483.9825560001,11702878.395016015,596,1343
235,20218109006.931637,14392,996303.1184319997,11821340.756156025,11570288.875481006,251051.88067500025,12817643.874587998,611,1370
236,20387817635.4246,14091,2988751.46578,11066875.764620999,10811879.204783006,254996.559838,14055627.230400994,648,1414
237,20478038471.514507,14603,3295533.2496449994,11468113.188396992,11196090.106202,272023.08219499997,14763646.438042019,672,1437
238,20598560072.62083,14436,3239142.74279,11361488.191998,11121748.707026003,239739.48497199998,14600630.934787996,654,1446
239,21356205100.359573,14441,3267701.459066999,12787281.58604201,12557563.199125981,229718.38691599993,16054983.045108985,678,1442
240,21440591255.207733,14593,3416795.119206001,12903554.154132018,12651583.388103003,251970.76602899987,16320349.273337994,720,1457
241,21632982170.7612,14548,3355845.1599480016,13023358.435470995,12786728.854862994,236629.58060800005,16379203.595418995,711,1465
242,21755094259.019897,15020,3313827.1646380005,13160790.906227019,12911572.274387995,249218.6318389997,16474618.070864998,717,1490
243,21849089085.26033,15603,3330139.698890999,13240093.660042986,12988071.596181996,252022.06386099986,16570233.358934019,741,1505
244,21956206748.623653,15935,3350060.9831719985,13234867.421485001,12989252.737600012,245614.68388499995,16584928.404656997,736,1531
245,22086904770.458763,16405,3349560.031394001,13371090.623795,13128992.976432996,242097.64736199979,16720650.65518897,770,1570
246,22190441040.634068,16707,3330568.259287,13290552.061176011,13036581.758677006,253970.30249900036,16621120.320463004,768,1581
247,22275517879.395283,17210,2939435.4369719983,13704855.271005986,13467164.592837999,237690.67816799998,16644290.70797801,801,1639
248,22376311335.66071,17477,2989407.3459570003,13499581.72900599,13251761.212023996,247820.51698199974,16488989.074963002,821,1657
249,22369166376.49282,17948,2903205.940020002,13536560.218295993,13311598.258713,224961.9595830002,16439766.158315992,818,1700
250,23034831199.28575,18006,2849261.2253060006,13657270.703689013,13413218.763595989,244051.94009299955,16506531.928995002,852,1785
251,23028427838.128735,18757,2911357.4621630013,13804738.38130601,13561358.302064996,243380.07924100032,16716095.843469013,858,1882
252,22675992136.32678,18950,2472938.389814999,13621999.70848701,13390337.002875019,231662.70561200008,16094938.09830198,894,1952
253,22807568628.32658,19226,2378938.0753809973,13512777.217322992,13275318.893293006,237458.3240300001,15891715.292703997,900,2055
254,22929461287.895603,19443,2459881.6303390004,13346675.05366601,13119654.171910984,227020.88175500036,15806556.68400501,905,2153
255,22753958467.474937,19994,2203360.1299369982,13807868.393020988,13569965.411966987,237902.98105399995,16011228.522957984,921,2231
256,22488877070.796886,20640,1921187.858515,13685030.484962998,13448141.388817975,236889.09614500013,15606218.34347801,935,2293
