pool_id_bech32,ticker,pool_status_current,active_epoch_no_current,retiring_epoch_current,current_active_stake_ada,current_saturation_pct,current_size_bucket,epochs_observed,mean_active_stake_ada,mean_saturation_pct,mean_size_bucket,total_blocks,total_pool_fees_ada,total_deleg_rewards_ada,total_member_rewards_ada,total_owner_member_rewards_ada,total_pool_rewards_ada,avg_pool_rewards_epoch_ada,operator_fee_share_pct,owner_member_share_pct,public_member_share_pct
pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,ATADA,registered,463,,67865231.968848,88.17385996435607,Near-saturation pools,406,71205382.67053033,92.04662561576353,Near-saturation pools,24948,331776.05717,14340984.449313004,13894779.238624996,446205.210688,14672760.506482996,36139.804203160085,2.2611699892696295,3.0410447338171247,94.69778527691324
pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1PCT0,registered,303,,68405532.071948,88.87584453358785,Near-saturation pools,406,69235568.40710436,87.46669950738912,Near-saturation pools,24251,282242.0181309999,14309659.794345997,14291718.545849994,17941.248495999993,14591901.812477013,35940.64485831777,1.9342373719213546,0.1229534623146866,97.94280916576382
pool1vx9tzlkgafernd9vpjpxkenutx2gncj4yn88fpq69823qlwcqrt,CRDNS,registered,383,,71274441.817645,92.6032737168194,Near-saturation pools,406,71150215.03662848,91.4162068965517,Near-saturation pools,25115,417116.0814530001,14025388.300157994,13954032.002727002,71356.29743100001,14442504.381611008,35572.670890667505,2.8881146263254402,0.49407149581242144,96.61781387786209
pool1ekcsyzwexl7p2kwxxh34hy28l6772vrmff7jwmuxsa6u6fzty9z,ADALO,registered,586,,73662630.078247,95.70612581280133,Saturated pools,406,71701373.4283751,94.39098522167484,Near-saturation pools,25989,129674.37739300003,14240278.070379995,14052046.395361,188231.67501900002,14369952.447772995,35393.9715462389,0.9023994885459521,1.3098976889667544,97.78770282248733
pool1nee5kmpzv0qfz7lu258fe9ylgxh68lsqqdmjgw7jnheej3usn35,IOGP,retired,457,606,0.0,0.0,Zero-stake pools,372,64155954.82622769,90.21830645161295,Near-saturation pools,21699,14356800.783101002,0.0,0.0,0.0,14356800.783101002,38593.550492206996,100.0,0.0,0.0
pool155efqn9xpcf73pphkk88cmlkdwx4ulkg606tne970qswczg3asc,IOGP,retired,457,606,0.0,0.0,Zero-stake pools,372,64158827.163592584,90.22206989247314,Near-saturation pools,21747,14348197.728451988,0.0,0.0,0.0,14348197.728451988,38570.42400121502,100.0,0.0,0.0
pool1gpzkwf3ntp7ky6yvyky8q6qu4dyup5y6v4pxzn56yut8sqp6k53,IOGP,retired,457,606,0.0,0.0,Zero-stake pools,372,64156239.046066344,90.21860215053768,Near-saturation pools,21733,14348165.917310003,0.0,0.0,0.0,14348165.917310003,38570.33848739248,100.0,0.0,0.0
pool13c9mnvfx4nvwvkszxcprwlv60fh3tteef50hhhv9yxptsua2v70,DARK,registered,335,,71075188.039261,92.34439337053746,Near-saturation pools,356,69083763.30332798,96.1057303370787,Saturated pools,22565,14105573.467939997,0.0,0.0,0.0,14105573.467939997,39622.39738185392,100.0,0.0,0.0
pool1rvng7n968748udkc5rxy4h9zp9hms4s3jsfwuues76ft28uc056,DIGI,registered,581,,60275690.455737,78.31315292547204,Large healthy pools,406,63895028.9895072,80.61871921182265,Near-saturation pools,22299,456295.75959000003,12982864.261965998,12914829.814632991,68034.44733299997,13439160.021556005,33101.379363438435,3.3952699339699466,0.5062403247217444,96.09848974130821
pool1xytvsd9qnvqxpthh9p8k85e823trvn3npxeur8kr9zhkqz5uls9,ADV,registered,478,,76981438.777848,100.01808592901271,Saturated pools,406,65412169.4351552,91.08980295566508,Near-saturation pools,24613,138543.787639,12610746.269543998,12500589.372040002,110156.89750399998,12749290.057182994,31402.192259071413,1.0866784504674747,0.8640237770881776,98.0492977724444
