pool_id_bech32,pool_id_hex,active_epoch_no,margin,fixed_cost,pledge,deposit,reward_addr,owners,relays,ticker,pool_group,meta_url,meta_hash,pool_status,active_stake,retiring_epoch
pool1z5uqdk7dzdxaae5633fqfcu2eqzy3a3rgtuvy087fdld7yws0xt,153806dbcd134ddee69a8c5204e38ac80448f62342f8c23cfe4b7edf,589,0.009,340000000,50000000000,,stake1uy89kzrdlpaz5rzu8x95r4qnlpqhd3f8mf09edjp73vcs3qhktrtm,"[""stake1uy89kzrdlpaz5rzu8x95r4qnlpqhd3f8mf09edjp73vcs3qhktrtm""]","[{""dns"":""octaluso.dyndns.org"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":3002}]",OCTAS,,https://raw.githubusercontent.com/Octalus/cardano/master/p.json,\xca7d12decf886e31f5226b5946c62edc81a7e40af95ce7cd6465122e309d5626,registered,64661928596608,
pool1pu5jlj4q9w9jlxeu370a3c9myx47md5j5m2str0naunn2q3lkdy,0f292fcaa02b8b2f9b3c8f9fd8e0bb21abedb692a6d5058df3ef2735,411,0.049,340000000,250000000000,,stake1u98nnlkvkk23vtvf9273uq7cph5ww6u2yq2389psuqet90sv4xv9v,"[""stake1u98nnlkvkk23vtvf9273uq7cph5ww6u2yq2389psuqet90sv4xv9v""]","[{""dns"":""relays.mainnet.stakenuts.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":3001}]",NUTS,5BINARIES,https://stakenuts.com/mainnet.json,\x47c0c68cb57f4a5b4a87bad896fc274678e7aea98e200fa14a1cb40c0cab1d8c,registered,5729842053175,
pool1c8k78ny3xvsfgenhf4yzvpzwgzxmz0t0um0h2xnn2q83vjdr5dj,c1ede3cc9133209466774d4826044e408db13d6fe6df751a73500f16,276,0,340000000,50100000000,,stake1uyx0ut5wc5nmu0tacjc9pyyahdyq5ujghwljkdxrpfw5vecnyn4gg,"[""stake1uyx0ut5wc5nmu0tacjc9pyyahdyq5ujghwljkdxrpfw5vecnyn4gg"",""stake1uyacuruhne34456jh7vzuc9ly0rqmxanu9z4pzyly06z94gmm4a8a""]","[{""dns"":""relay.zenithpool.io"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":31400}]",,,https://metadata.zenithpool.io,\x21cc44498ab6e74e081a805e629fff171a66d0c8d034f9c4c645dc65c321e7df,retired,,385
pool1q80jjs53w0fx836n8g38gtdwr8ck5zre3da90peuxn84sj3cu0r,01df29429173d263c7533a22742dae19f16a08798b7a57873c34cf58,617,0,340000000,2000000000,,stake1uxxsa2rlkv728pve3ks7kn7c6v68luagdjgwa0medy6vp9suv96q8,"[""stake1uxxsa2rlkv728pve3ks7kn7c6v68luagdjgwa0medy6vp9suv96q8""]","[{""dns"":null,""srv"":null,""ipv4"":""140.238.214.192"",""ipv6"":null,""port"":6060}]",000,,https://ispool.live/poolMetaData.json,\x7c7e95ecf8deadc13c729dbe968377627fccb0611b8df10cf4b0fc12bb83333b,registered,6410477684494,
pool1ddskftmsscw92d7vnj89pldwx5feegkgcmamgt5t0e4lkd7mdp8,6b6164af70861c5537cc9c8e50fdae35139ca2c8c6fbb42e8b7e6bfb,217,0.05,340000000,7149000000,,stake1u9w20uzsevkxe6vp2nlmqjjrcj4gvcf560tvufuvrcjpxvgqaqg0t,"[""stake1u9w20uzsevkxe6vp2nlmqjjrcj4gvcf560tvufuvrcjpxvgqaqg0t""]","[{""dns"":null,""srv"":null,""ipv4"":""139.162.148.181"",""ipv6"":null,""port"":8088}]",,,https://pool.adascan.net/meta/v1/poolmeta.json,\x79e7cf8d936bf0ced040516b288e2edc76f2f87af5400f92010a682de3a052e9,registered,2671108363,
pool1qqqqqdk4zhsjuxxd8jyvwncf5eucfskz0xjjj64fdmlgj735lr9,00000036d515e12e18cd3c88c74f09a67984c2c279a5296aa96efe89,463,0.01,340000000,1300000000000,,stake1uxrkez465cmpdrragd3rhcgrc6lllnasxd7qtl735l489egx9yfxe,"[""stake1uyu7kwazvf97ccvqrd5u6zruzep2yedn9z8mzqvl420rafq78lk3g"",""stake1uy7ccasgje45h004zws56ktp7nvcnktvez5c76hd84n6a6sd2g66l""]","[{""dns"":""relays.stakepool.at"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":3001},{""dns"":""relay-1.stakepool.at"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":3001},{""dns"":""relay-2.stakepool.at"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":3001}]",ATADA,ATADA,https://stakepool.at/atada.metadata3.json,\x4811109f4fa6e2c1e3077fde6d1aa3120cc7a9edbd11d2c07a7828e452b48803,registered,67865231968848,
pool1dmqzwuql5mylffvn7ln3pr9j7kh4gdsssrmma5wgx56f6rtyf42,6ec027701fa6c9f4a593f7e7108cb2f5af54361080f7bed1c835349d,462,0.03,170000000,1000000000000,,stake1u9h7awdh7aestzrkq0k8krfeesc957kmsmcrr0s3rl8wcfqeg3lgn,"[""stake1uy9tvq444lvkwtzlalqpn5sswecfat6fgxmham5hushmacs2p9wdq"",""stake1u9h7awdh7aestzrkq0k8krfeesc957kmsmcrr0s3rl8wcfqeg3lgn"",""stake1u87vkp9awhqjmly3c27a60y6l6hpjdwal2tnnnrl8dsnngs9wr8cp""]","[{""dns"":""relay1.cryptobounty.org"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":8081},{""dns"":""relay2.cryptobounty.org"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":8082}]",BNTY1,,https://tinyurl.com/y3aryqrz,\xf9d5e977d38c1eb387cfdec0677284d11a3f9129855b542bd332d636f9bd7bbf,registered,7329132455798,
pool13gdtqme63jprkug3j4wzslhmu0yk4kdx323rtxpjuz7rqv3yyes,8a1ab06f3a8c823b7111955c287efbe3c96ad9a68aa2359832e0bc30,211,0.036,340000000,168000000000,,stake1u8gu2vzsk2nc6hsphudhl3p6aum7nd59ajqjg9zp00uvxcqwsdray,"[""stake1uxzkym2524wme8qv3vaj55jlqrmqdnyvv83vrmtvvgsawwq8aw9xu"",""stake1u8gu2vzsk2nc6hsphudhl3p6aum7nd59ajqjg9zp00uvxcqwsdray""]","[{""dns"":""relayone.dezentstaking.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":8885},{""dns"":""relaytwo.dezentstaking.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":8885},{""dns"":""relaythree.dezentstaking.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":8885}]",,,http://dezent.online/deznt.metadata.json,\x588db1c310d430bd4ee12a39eeda3e845fb9cae3fd92ec32a119a3ba2136b2d8,retired,,215
pool1qzlw7z5mutmd39ldyjnp8n650weqe55z5p8dl3fagac3ge0nx8l,00beef0a9be2f6d897ed24a613cf547bb20cd282a04edfc53d477114,419,0.02,340000000,10000000000,,stake1uy2ntdynjp9ezkxtfnghh6h3lhxnlz9e9geptf8pegdw5zq2c7dzu,"[""stake1uyjd7xxuahjznpk6nvmmzf90eqykqqnlm9umltnphlrprpch8nyxg""]","[{""dns"":""relay0.bluecheesestakehouse.com"",""srv"":null,""ipv4"":null,""ipv6"":null,""port"":5000}]",BCSH,WESTBERG,https://cardanostakehouse.com/be8fc51e-cd0d-440f-b385-11a.json,\x4a09e738e49267737f41912a1be1c63790b877659483107f6e7f3cc80c7cd89e,registered,20916823831038,
pool16tcjctesjnks0p8sfrlf8f3d3vrp2fdn2msy80sgg3cdjtayu3z,d2f12c2f3094ed0784f048fe93a62d8b061525b356e043be084470d9,419,0.01,340000000,5000000,,stake1u9jln683r9ysex8v8mft6wt2thha9xpeapm92f52gswzp5sgc5ve4,"[""stake1u9msfg7dtt3plmtfznkxljwes70wxsqgc4ql5qxe4et37hcm98d6n""]","[{""dns"":null,""srv"":null,""ipv4"":""45.83.107.139"",""ipv6"":null,""port"":3001},{""dns"":null,""srv"":null,""ipv4"":""45.83.107.231"",""ipv6"":null,""port"":3001}]",TAPSY,,https://tap-ada.github.io/poolmeta.json,\xeecc610ce196d8f56b9f7dbda6fb1617c9a731286a573aaec835a99d0dfee058,registered,7430583338457,
