epoch_no,update_cnt,registration_update_cnt,deregistration_update_cnt,distinct_updated_pool_cnt,median_margin_pct,median_fixed_cost_ada,pct_fixed_cost_340
210,737,737,0,737,2.0,340.0,86.37602179836512
211,912,912,0,494,2.0,340.0,86.96629213483146
212,743,743,0,457,2.0,340.0,88.92276422764228
213,573,573,0,311,2.0,340.0,89.66861598440545
214,413,413,0,266,2.0,340.0,90.0
215,360,360,0,214,2.0,340.0,90.32549728752261
216,318,318,0,193,2.0,340.0,90.3485254691689
217,291,291,0,177,2.0,340.0,90.25460930640912
218,250,250,0,160,2.0,340.0,90.02647837599294
219,158,158,0,105,2.0,340.0,89.92112182296232
220,169,169,0,106,2.0,340.0,90.17391304347827
221,168,168,0,106,2.0,340.0,90.05190311418684
222,125,125,0,89,2.0,340.0,89.76784178847808
223,146,146,0,94,2.0,340.0,89.92314261315116
224,172,172,0,116,2.0,340.0,90.0
225,176,176,0,113,2.0,340.0,89.76311336717428
226,123,123,0,83,2.0,340.0,89.75444538526672
227,183,183,0,103,2.0,340.0,89.78902953586498
228,158,158,0,110,2.0,340.0,89.46925021061499
229,172,172,0,128,2.0,340.0,89.27108927108927
230,202,202,0,147,2.0,340.0,89.55696202531645
231,216,216,0,173,2.0,340.0,89.35185185185185
232,210,210,0,171,2.0,340.0,89.43716268311488
233,221,221,0,151,2.0,340.0,89.22841864018335
234,210,210,0,150,2.0,340.0,89.6500372300819
235,271,271,0,192,2.0,340.0,89.63503649635037
236,242,242,0,180,2.0,340.0,87.55304101838756
237,280,280,0,164,2.0,340.0,87.54349338900487
238,195,195,0,135,2.0,340.0,87.69017980636238
239,168,168,0,113,2.0,340.0,86.89320388349515
240,163,163,0,115,2.0,340.0,86.68496911461908
241,122,122,0,90,2.0,340.0,86.48464163822526
242,158,158,0,121,2.0,340.0,86.30872483221476
243,187,187,0,142,2.0,340.0,86.71096345514951
244,155,155,0,118,2.0,340.0,85.95689092096669
245,231,231,0,163,2.0,340.0,85.47770700636943
246,145,145,0,107,2.0,340.0,85.26249209361164
247,223,223,0,164,2.0,340.0,85.29591214154972
248,286,286,0,190,2.0,340.0,85.51599275799639
249,247,247,0,193,2.0,340.0,84.70588235294117
250,329,329,0,244,2.0,340.0,84.48179271708683
251,423,423,0,297,2.0,340.0,84.37832093517534
252,379,379,0,278,2.0,340.0,84.57991803278688
253,477,477,0,351,2.0,340.0,84.13625304136254
254,513,513,0,328,2.0,340.0,84.486762656758
255,443,443,0,303,2.0,340.0,84.71537427162707
256,496,496,0,307,2.0,340.0,85.041430440471
257,412,412,0,274,2.0,340.0,84.85628485628486
258,390,390,0,259,1.9900000000000002,340.0,84.81917577796467
259,374,374,0,251,1.9900000000000002,340.0,84.73597359735973
260,323,323,0,236,1.9,340.0,85.46938775510205
261,303,303,0,214,1.9,340.0,85.63334682314853
262,307,307,0,207,1.7999999999999998,340.0,85.71428571428571
263,264,264,0,189,1.7999999999999998,340.0,85.74273197929112
264,265,265,0,209,1.7999999999999998,340.0,85.9338061465721
265,246,246,0,203,1.815,340.0,85.80922595777952
266,225,225,0,184,1.7999999999999998,340.0,85.81944982564897
267,260,260,0,195,1.7999999999999998,340.0,85.95613697575992
268,267,267,0,193,1.7999999999999998,340.0,85.48262548262548
269,272,272,0,205,1.7999999999999998,340.0,85.56108770585983
270,214,214,0,182,1.8499999999999999,340.0,85.57364634608103
271,247,247,0,174,1.7999999999999998,340.0,85.43616622987645
272,286,286,0,193,1.67,340.0,85.56547619047619
273,228,228,0,162,1.5,340.0,85.71957084720681
274,230,230,0,177,1.5,340.0,85.51094890510949
275,237,237,0,170,1.5,340.0,85.65737051792829
276,200,200,0,152,1.5,340.0,85.79668348954577
277,202,202,0,146,1.5,340.0,85.68360773085183
278,202,202,0,139,1.5,340.0,85.87650816181689
279,190,190,0,142,1.5,340.0,85.89652728561305
280,177,177,0,144,1.5,340.0,85.75458392101551
281,185,185,0,142,1.5,340.0,86.00070348223707
282,181,181,0,133,1.5,340.0,86.21772505233776
283,160,160,0,132,1.5,340.0,86.27519110493398
284,168,168,0,141,1.5,340.0,86.36363636363636
285,154,154,0,117,1.5,340.0,86.5845311430527
286,180,180,0,139,1.5,340.0,86.43490115882754
287,191,191,0,128,1.5,340.0,86.45621181262729
288,207,207,0,158,1.5,340.0,86.34510869565217
289,179,179,0,159,1.5,340.0,86.11205432937182
290,178,178,0,146,1.5,340.0,86.35596082404592
291,230,230,0,189,1.5,340.0,86.09249329758714
292,236,236,0,193,1.5,340.0,86.00602611315702
293,168,168,0,123,1.5,340.0,85.9866220735786
294,148,148,0,120,1.5,340.0,85.99933488526771
295,177,177,0,129,1.5,340.0,85.9126984126984
296,130,130,0,114,1.5,340.0,85.7707509881423
297,152,152,0,127,1.5,340.0,85.98684210526316
298,138,138,0,114,1.5,340.0,85.92471358428804
299,164,164,0,122,1.5,340.0,86.0655737704918
300,130,130,0,106,1.5,340.0,85.79414666228215
301,124,124,0,113,1.5,340.0,85.67213114754098
302,125,125,0,110,1.5,340.0,85.68144499178982
303,159,159,0,127,1.5,340.0,85.8456486042693
304,119,119,0,97,1.5,340.0,85.68159529257927
305,117,117,0,102,1.5,340.0,86.02988953866146
306,167,167,0,133,1.5,340.0,86.03060892217519
307,133,133,0,115,1.5,340.0,86.03749191984487
308,117,117,0,100,1.5,340.0,85.91777274198769
309,95,95,0,82,1.5,340.0,85.91823491239455
310,105,105,0,83,1.5,340.0,85.85760517799352
311,112,112,0,103,1.5,340.0,85.87167854828257
312,93,93,0,77,1.5,340.0,85.89909443725745
313,69,69,0,55,1.5,340.0,85.87588881706529
314,103,103,0,83,1.5,340.0,85.90408295528191
315,98,98,0,75,1.5,340.0,85.83009079118028
316,113,113,0,86,1.5,340.0,85.9045144527444
317,119,119,0,108,1.5,340.0,85.76985413290113
318,133,133,0,105,1.5,340.0,85.81146744412051
319,124,124,0,94,1.5,340.0,85.84844559585493
320,107,107,0,93,1.5,340.0,85.88082901554405
321,102,102,0,88,1.5,340.0,86.01036269430051
322,120,120,0,102,1.5,340.0,86.20801033591732
323,116,116,0,92,1.5,340.0,86.2757731958763
324,128,128,0,92,1.5,340.0,86.35339555841648
325,95,95,0,77,1.5,340.0,86.40745501285348
326,84,84,0,69,1.5,340.0,86.39129042587255
327,93,93,0,75,1.5,340.0,86.304
328,107,107,0,87,1.5,340.0,86.37236084452975
329,90,90,0,69,1.5,340.0,86.6772655007949
330,79,79,0,66,1.5,340.0,86.71528218135701
331,85,85,0,75,1.5,340.0,86.83544303797468
332,96,96,0,72,1.5,340.0,86.91381495564005
333,66,66,0,54,1.5,340.0,86.97171909755322
334,83,83,0,53,1.5,340.0,87.00887198986058
335,88,88,0,73,1.5,340.0,86.94823753572562
336,75,75,0,60,1.5,340.0,86.97999364877738
337,59,59,0,51,1.5,340.0,86.92893401015228
338,66,66,0,50,1.5,340.0,86.9440914866582
339,78,78,0,64,1.5,340.0,86.97171909755322
340,54,54,0,49,1.5,340.0,86.97866921362623
341,58,58,0,46,1.5,340.0,86.9191597708466
342,67,67,0,41,1.5,340.0,86.8328539469479
343,37,37,0,31,1.5,340.0,86.86739269698911
344,38,38,0,34,1.5,340.0,86.80154142581888
345,55,55,0,50,1.5,340.0,86.81001283697047
346,69,69,0,61,1.5,340.0,86.8573264781491
347,46,46,0,42,1.5,340.0,86.92159383033419
348,58,58,0,47,1.5,340.0,86.97749196141478
349,44,44,0,32,1.5,340.0,86.93969687197678
350,48,48,0,45,1.5,340.0,87.05616526791479
351,44,44,0,34,1.5,340.0,87.08844415752098
352,33,33,0,31,1.5,340.0,87.12487899322362
353,46,46,0,34,1.5,340.0,87.21343235389087
354,66,66,0,58,1.5,340.0,87.22922728742321
355,44,44,0,38,1.6,340.0,87.1654305062883
356,56,56,0,42,1.6,340.0,87.1976781683328
357,46,46,0,38,1.7500000000000002,340.0,87.14147599097647
358,45,45,0,40,1.7500000000000002,340.0,87.11755233494364
359,49,49,0,34,1.77,340.0,87.05314009661835
360,56,56,0,55,1.7999999999999998,340.0,87.02633269107257
361,54,54,0,44,1.7999999999999998,340.0,86.98717948717949
362,44,44,0,40,1.7999999999999998,340.0,86.96348494554773
363,68,68,0,50,1.7500000000000002,340.0,86.92307692307692
364,59,59,0,48,1.76,340.0,86.86739269698911
365,59,59,0,42,1.7999999999999998,340.0,86.87159782260647
366,37,37,0,32,1.7999999999999998,340.0,86.8421052631579
367,47,47,0,35,1.7999999999999998,340.0,86.91049085659289
368,55,55,0,44,1.7999999999999998,340.0,86.89522588913809
369,64,64,0,53,1.7999999999999998,340.0,86.8868226995832
370,39,39,0,35,1.7999999999999998,340.0,86.90361831572207
371,20,20,0,19,1.7999999999999998,340.0,86.92999357739242
372,40,40,0,36,1.7999999999999998,340.0,86.88946015424165
