group_kind,group_id,pool_count,group_active_stake_ada,observed_owner_capital_ada,declared_pledge_ada,operator_capital_ada,owner_snapshot_pool_count
entity,CHUCK_BUX,15,829641697.329263,834445517.796398,742000000.0,829641697.329263,15
entity,UPBIT,20,546485544.116842,551232861.744766,4000000.0,546485544.116842,20
entity,CARDANO_FOUNDATION,6,456219693.994589,456206007.397543,391750000.0,456206007.397543,6
entity,WAVE,17,602445233.327952,366646365.526073,227003535.0,366646365.526073,17
entity,ADALITE_PLATFORM,3,157935874.71634,158005556.792434,147210000.0,157935874.71634,3
entity,BLOOM,7,219716131.145145,77030491.973642,74000000.0,77030491.973642,7
pool,pool1uy07qyf0gzzua2glqspyvyevwpe8tamajnqj6c7mjzy4v3m4kne,1,76330348.449514,76328691.835181,75500000.0,76328691.835181,1
pool,pool1rkm8rplkafvllxjuddrkqc3u3lgd9uf327tvmvfdyygsv7lkhm8,1,75527054.377459,75533470.607578,75500000.0,75527054.377459,1
pool,pool1nqheyct9a0mxn80cwp9pd5guncfu3rzwqtmru0l94accz7gjcgl,1,73189069.508269,73005256.0,73000000.0,73005256.0,1
pool,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk,1,38959626.072805,38143621.093786,30000000.0,38143621.093786,1
pool,pool1gecx8vya3f8lyre2gn9w53547p0rhkmq0x78zrw956lkcvn8uyp,1,23731031.619204,23800555.301002,20000000.0,23731031.619204,1
pool,pool16r6g7plyuh4cqs9f3qy97l4rh5edwx3w9xvd205mhj2e58cpp28,1,23702743.739244,23756386.814754,20000000.0,23702743.739244,1
entity,IOG,9,13010820.721355,5002739.654364,325007097.0,13010820.721355,9
pool,pool1mn6relcs7dn2fqzfq5yjlwxa49d900p5sdpw62jlx45k2djgwe4,1,19432334.104372,8669268.363976,12059.0,8669268.363976,1
pool,pool1a4qtpgce7cu6wzc79fx7qrc3938hkl2gf8c2h5jugvm2gnu86l7,1,29750867.893863,8544421.209517,8440000.0,8544421.209517,1
pool,pool19asxjgd6ah9ddzauwede4wpt9vsp6s4ax5nz297wt47evc9sn7z,1,30747924.397971,7986048.260271,7890000.0,7986048.260271,1
pool,pool14cq4fchmmqjygwjw4zexmqqd6a7caxptjnvseyu6wanjuppv4vk,1,76593024.896411,5073776.908565,3000000.0,5073776.908565,1
pool,pool1gtphgrdj8sluxm9e7ca2spcwcq2p0dxj9zf5v0yv3gsagzq704n,1,55020667.622369,3991095.497659,3030000.0,3991095.497659,1
pool,pool1prc9hna2mgamtspchrygc66s9n4tlkvh39e3t9zccef4kzc3ns2,1,56618800.814003,3361387.202404,3350000.0,3361387.202404,1
pool,pool1k0xa8wlsntmjhtw2shj3tspqd4kjyquw9tuyx5s7zz5jsyw4y2p,1,6270730.507434,3144125.079952,150000.0,3144125.079952,1
pool,pool17ahr5ygy48vpdfnatqn2z4wfu2te4quapk2yx3k50ce6kd7feg0,1,56896107.88854,2977105.477933,2789000.0,2977105.477933,1
pool,pool1m4enp55hp80tf6xl7k6f6593wnyu3pr83xfvef9x3ktdw9m0em5,1,21609728.001929,2938689.272416,500000.0,2938689.272416,1
pool,pool1vtpn0drn5t39frknedmqq2jkhsfstwketsnvdm7cjzz674s30v2,1,24396786.349659,2897586.997238,2650000.0,2897586.997238,1
