epoch_no,start_date_utc,reserve_ada,rho_rate,eta_capped,tau_rate,d_decentralisation,transition_gate,monetary_expansion_nominal_ada,monetary_expansion_eta_adjusted_ada,monetary_expansion_pool_side_ada,is_current_partial_epoch
208,2020-07-29,,0.003000,0.997963,0.200000,1.000000,0,,,,False
209,2020-08-03,13286160713.028444,0.003000,0.998611,0.200000,1.000000,0,39858482.139085,39803123.136114,0.000000,False
210,2020-08-08,13278197552.770391,0.003000,0.997546,0.200000,1.000000,0,39834592.658311,39736850.370770,0.000000,False
211,2020-08-13,13270236767.315870,0.003000,0.986806,0.200000,0.900000,1,39810710.301948,39285430.096575,31428344.077260,False
212,2020-08-18,13262280841.681299,0.003000,0.985185,0.200000,0.800000,1,39786842.525044,39197407.820969,31357926.256775,False
213,2020-08-23,13247093198.353460,0.003000,0.992685,0.200000,0.780000,1,39741279.595060,39450579.494319,31560463.595455,False
214,2020-08-28,13230232787.944838,0.003000,0.993148,0.200000,0.760000,1,39690698.363835,39418743.578749,31534994.862999,False
215,2020-09-02,13212986170.770205,0.003000,0.998704,0.200000,0.740000,1,39638958.512311,39587574.677202,31670059.741762,False
216,2020-09-07,13195031638.588163,0.003000,0.982269,0.200000,0.720000,1,39585094.915764,38883192.538323,31106554.030658,False
217,2020-09-12,13176528835.451372,0.003000,0.959630,0.200000,0.700000,1,39529586.506354,37933762.458505,30347009.966804,False
218,2020-09-17,13157936081.322001,0.003000,0.949583,0.200000,0.680000,1,39473808.243966,37483670.411666,29986936.329333,False
219,2020-09-22,13139088245.733215,0.003000,0.991991,0.200000,0.660000,1,39417264.737200,39101561.644629,31281249.315703,False
220,2020-09-27,13120582265.809832,0.003000,1.000000,0.200000,0.640000,1,39361746.797429,39361746.797429,31489397.437944,False
221,2020-10-02,13101550250.680254,0.003000,0.997546,0.200000,0.620000,1,39304650.752041,39208208.784918,31366567.027934,False
222,2020-10-07,13082116350.342060,0.003000,0.993796,0.200000,0.600000,1,39246349.051026,39002876.330061,31202301.064049,False
223,2020-10-12,13062655956.639744,0.003000,0.989537,0.200000,0.580000,1,39187967.869919,38777945.613502,31022356.490802,False
224,2020-10-17,13042967905.529921,0.003000,0.987222,0.200000,0.560000,1,39128903.716590,38628923.280211,30903138.624169,False
225,2020-10-22,13023198387.000242,0.003000,0.986019,0.200000,0.540000,1,39069595.161001,38523344.339768,30818675.471815,False
226,2020-10-27,13003168356.561691,0.003000,0.992546,0.200000,0.520000,1,39009505.069685,38718739.777268,30974991.821814,False
227,2020-11-01,12983158507.901821,0.003000,0.978009,0.200000,0.500000,1,38949475.523705,38092947.705476,30474358.164381,False
228,2020-11-06,12963125292.915960,0.003000,0.980139,0.200000,0.480000,1,38889375.878748,38116989.663378,30493591.730703,False
229,2020-11-11,12943288527.645189,0.003000,0.982824,0.200000,0.460000,1,38829865.582936,38162926.687969,30530341.350376,False
230,2020-11-16,12923287136.043549,0.003000,0.983519,0.200000,0.440000,1,38769861.408131,38130876.655293,30504701.324234,False
231,2020-11-21,12901374614.727880,0.003000,0.976343,0.200000,0.420000,1,38704123.844184,37788484.618055,30230787.694444,False
232,2020-11-26,12879420804.989067,0.003000,0.979120,0.200000,0.400000,1,38638262.414967,37831509.806210,30265207.844968,False
233,2020-12-01,12857569396.931763,0.003000,0.975231,0.200000,0.380000,1,38572708.190795,37617319.353662,30093855.482930,False
