display_name,claim_type,confidence,operational_health_tag,decentralization_pressure_tag,current_registered_pool_count,current_live_positive_pool_count,healthy_core_pool_count,subscale_active_pool_count,dormant_pool_count,zero_stake_registered_pool_count,near_saturation_pool_count,current_stake_ada,current_pct_supply,median_live_stake_ada,largest_live_stake_ada,median_live_pledge_ada,avg_live_pledge_ada,avg_live_margin_pct,avg_live_fixed_cost_ada,dominant_meta_domains,koios_pool_groups,adastat_groups,balanceanalytics_groups,relay_hints
Coinbase / bison.run,Same operational cluster,Medium-High,Dense live fleet,Very high,48,47,41,1,5,1,23,2451127776.633,6.3693,60939040.990,119938312.921,0.000,21.277,4.64,340.000,"`92a8429c.cardano-metadata.herd.run` (1), `26e894b1.cardano-metadata.herd.run` (1), `7ddb9c28.cardano-metadata.bison.run` (1)",`COINBASE` (46),n/a,`COINBASE` (44),"`92a8429c.cardano-relay.herd.run` (1), `26e894b1.cardano-relay.herd.run` (1), `7ddb9c28.cardano-relay.bison.run` (1)"
CHUCK BUX,Unresolved cluster label,Low,Dense live fleet,High,17,15,13,0,2,2,10,834454470.781,2.1683,74030385.281,76325344.386,73000000.000,49466666.667,94.00,340.000,`git.io` (1),`CHUCK BUX` (17),`stake1u8ww9v63kydymm7hslk4mxyte36str9ehdz06lzsu5r4jlq0e2shk` (2),`CHUCK BUX` (17),"`26.cardano.staked.cloud` (1), `27.cardano.staked.cloud` (1), `28.cardano.staked.cloud` (1)"
Figment,Same provider cluster,Medium-High,Mostly healthy live fleet,High,37,36,19,7,10,1,4,788303101.716,2.0484,9515541.625,92764741.262,0.000,0.556,8.36,170.000,`pcpm.s3.amazonaws.com` (37),`FIGMENT` (37),`ledger.com` (37),`FIGMENT` (9),n/a
Binance,Same operator cluster,High,Mixed live fleet,High,53,50,20,8,22,3,1,691178270.509,1.7960,130354.878,61624385.298,2.000,1.480,6.10,345.000,"`s3.amazonaws.com` (32), `binance-ada.s3.us-east-2.amazonaws.com` (13), `s3-us-west-2.amazonaws.com` (5)",`BINANCE` (53),"`binance.com` (50), `infstones.com` (2)",`BINANCE` (52),"`54.84.119.195` (13), `52.6.109.221` (2), `3.234.66.234` (2)"
Kiln,Same provider cluster,High,Dense live fleet,Moderate,11,11,9,1,1,0,6,686500508.410,1.7839,69577762.912,116016167.140,100.000,100.000,5.00,340.000,`tinyurl.com` (11),`ADALITE` (10),`kiln.fi` (9),`ADALITE` (9),"`relay-trustwallet-5-0.cardano.mainnet.kiln.fi` (1), `relay-trustwallet-5-1.cardano.mainnet.kiln.fi` (1), `relay-trustwallet-5-2.cardano.mainnet.kiln.fi` (1)"
Wave / Wavepool,Same operator cluster,High,Dense live fleet,Moderate,17,17,14,0,3,0,5,611100475.779,1.5879,34785449.063,76119527.246,1000000.000,13353149.118,14.83,340.000,"`meta.wavepool.digital` (14), `raw.githubusercontent.com` (2), `git.io` (1)",`WAVE` (16),"`wavepool.digital` (14), `wavemkr.github.io` (2)",`WAVE` (15),"`relays.wavepool.digital` (14), `relay1.cardanowave.com` (1), `relay2.cardanowave.com` (1)"
Blockdaemon,Same operator cluster,High,Dense live fleet,Moderate,15,15,12,1,2,0,4,577202511.188,1.4999,48519049.926,75574540.754,200.000,153.467,5.73,272.000,"`cardano.blockdaemon.com` (6), `pcpm.s3.amazonaws.com` (1)","`BD` (14), `FIGMENT` (1)","`blockdaemon.com` (8), `ledger.com` (1)",`BD` (15),"`bd-cardano-main-relay-12-a.bdnodes.net` (1), `bd-cardano-main-relay-12-b.bdnodes.net` (1), `olive-geonosis-edffc.cardano.bdnodes.net` (1)"
Everstake,Same operator cluster,High,Dense live fleet,Moderate,15,15,12,2,1,0,1,567269033.197,1.4740,41267717.563,62139980.489,1000.000,736.000,2.93,338.667,`everstake.one` (15),`EVE` (15),`everstake.one` (15),`EVE` (11),"`cardano-main.everstake.one` (15), `cardano-main2.everstake.one` (15), `cardano-relay1.everstake.one` (15)"
Upbit,Same operator cluster,High,Dense live fleet,High,20,20,20,0,0,0,0,551233598.675,1.4324,35008123.135,35723179.192,200000.000,200000.000,100.00,340.000,`staking-static.upbit.com` (20),`UPBIT` (20),`upbit.com` (20),`UPBIT` (15),"`cardano-relay-1.upbit.com` (20), `cardano-relay-2.upbit.com` (20), `cardano-relay-3.upbit.com` (20)"
eToro,Same operator cluster,High,Mixed live fleet,Moderate,24,12,11,0,1,12,0,471872804.644,1.2262,50000134.851,57000082.283,0.000,0.000,100.00,340.000,"`etoro-spo.github.io` (14), `bit.ly` (7)",`ETORO` (24),`etoro.com` (24),`ETORO` (16),"`108.142.42.161` (14), `108.142.42.221` (14), `20.61.228.218` (14)"
YUTA,Same managed cluster,Medium,Dense live fleet,High,25,25,25,0,0,0,0,464621089.353,1.2073,20171576.598,37713289.168,50000.000,46000.000,12.59,41712.760,"`tokyostaker.com` (5), `coinzzz.jp` (5), `popool.net` (4)",`YUTA` (25),"`tokyostaker.com` (5), `coinzzz.jp` (5), `stake1ux2g76f0l7cv8g6ugzc3q54shlh57sqzad0tydysw7srqpq377vgr` (4)",`YUTA` (25),"`asia.jazzstakepool.net` (4), `3.111.14.60` (2), `asia-pacific-japan.popsp.net` (2)"
Cardano Foundation,Same operator cluster,High,Mostly healthy live fleet,Moderate,6,6,6,0,0,0,6,456219693.994,1.1855,76301499.803,76315166.700,76000000.000,65291666.667,100.00,170.000,`mainnet.pool.cardanofoundation.org` (6),`cardanofoundation.org` (6),`cardanofoundation.org` (6),n/a,"`cf1r1.mainnet.pool.cardanofoundation.org` (1), `cf1r2.mainnet.pool.cardanofoundation.org` (1), `cf4r1.mainnet.pool.cardanofoundation.org` (1)"
NuFi,Same provider cluster,High,Dense live fleet,High,18,18,17,0,1,0,0,312779321.180,0.8128,13061586.865,41488375.143,1000.000,1000.000,3.00,340.000,"`pools-meta.nu.fi` (17), `adalite.io` (1)",`ADALITE` (18),`nu.fi` (18),`ADALITE` (18),"`cardano-relays-1.nu.fi` (17), `cardano-relays-2.nu.fi` (17), `34.249.11.89` (1)"
