entity_id,display_name,category,confidence,claim_type,pool_id_bech32,ticker,pool_status,current_active_stake_ada,meta_domain,meta_url,pool_group,adastat_group,balanceanalytics_group,reward_addr,relay_hints
P2P,P2P,declared_brand,High,Same operator cluster,pool1p9sda64t6l9802tsu2fj6phvt9xfqgcpjucyr3kek8wzurmn8rz,K8S,registered,956710.514,k8s-pool.subnet.dev,https://k8s-pool.subnet.dev/pool-metadata/pool.json,,,SINGLEPOOL,stake1uy76j6taxp45dwxe5247ch5pcf8hrlqsxknt5ytz3he4nwg5y2yma,89.217.176.121; relay-k8s-pool.subnet.dev; relay-p2p-01-k8s-pool.subnet.dev; relay-p2p-02-k8s-pool.subnet.dev; relay-p2p-03-k8s-pool.subnet.dev
EMURGO,Emurgo,declared_brand,High,Same operator cluster,pool1xxhs2zw5xa4g54d5p62j46nlqzwp8jklqvuv2agjlapwjx9qkg9,SWIM,registered,14761564.886,kficz.github.io,https://kficz.github.io/swim.json,EMURGO,theswim.net,EMURGO,stake1u8636jm3vf66kagmpfx2jytxwy60jfj9gfwf0p4g76ee0esz27hnw,49.12.123.178; 51.161.35.246; 51.195.91.118; 95.217.58.124
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1vxz0deezj5c2950e7arpzfqxzq8zd9kawsullrzjw5rsq0yhxgr,ZZZ,registered,31138583.828,coinzzz.jp,https://coinzzz.jp/metadata/zzz.json,YUTA,coinzzz.jp,YUTA,stake1u94camf80zcfjetf3x8y2hdzf7mudsmdlj4qf8e7avaqarg92w2zn,asia-pacific-zzzrelay.zzzpool.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1smy2r8jdvgna5ykhe8rrch7h4qalyfafyzyh0rmanmq0jxptww7,ZZZ3,registered,23480863.659,coinzzz.jp,https://coinzzz.jp/metadata/zzz3.json,YUTA,coinzzz.jp,YUTA,stake1uxngw03ht8jsd6ls05mrzp8wd32px0uc6aqsgvscjtyg4pqp5fskd,europe1-zzz3relay.zzzpool.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool14mm59ntjqzphjr6chrww639cdr3yjce4qcwzc5jkk38y22u7uc6,ZZZ2,registered,35194726.224,coinzzz.jp,https://coinzzz.jp/metadata/zzz2.json,YUTA,coinzzz.jp,YUTA,stake1u98l32vwmje2jdh5gtark8ppzx0j5fq7r9dk9c720e7x3kqjvzz5w,13.235.131.115
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1spus7k8cy5qcs82xhw60dwwk2d4vrfs0m5vr2zst04gtq700gjn,ZZZ4,registered,10417223.249,coinzzz.jp,https://coinzzz.jp/metadata/zzz4.json,YUTA,coinzzz.jp,YUTA,stake1uy5w4wtltezrrkzrvgujymhcxj08u7a6p3we5uu538h2saqz9aquk,europe2-zzz4relay.zzzpool.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1jx4ss2zjage3cw0wht3450328y82yeprmq4fr3e2qtac2rhezkv,ZZZ5,registered,21093938.037,coinzzz.jp,https://coinzzz.jp/metadata/zzz5.json,YUTA,coinzzz.jp,YUTA,stake1ux026n9gx9ygvl6qceuhlhh4md7fmrulhsf8yrvl5g8sweseh6fyh,europe3-zzz5relay.zzzpool.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool19uynx6nxcdksmaqdcshjg487fap3rs3axyhrdqa7gdqgzgxss4y,JAPAN,registered,3545884.389,tokyostaker.com,https://tokyostaker.com/metadata/japan.json,YUTA,tokyostaker.com,YUTA,stake1uyupcehhmylk59knmnl29ms94l6n8t6t0me5mg0jzgf006s9ftyjc,asia-pacific-relay.jpn-sp.net
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1lllmq2jgcqrag5c77lpc5m34fsqn63leadyx9tzx842n66ly3ql,,registered,265395.792,www.epicpool.eu,https://www.epicpool.eu/EPIC.metadata.json,1PCT,,1PCT,stake1u99teytu37qrpuheejpdpnc504skwd780mu7tfy6p9d6v2cfjzzmp,relay1.epicpool.eu; relay2.epicpool.eu
OCEAN,AdaOcean,declared_brand,High,Same operator cluster,pool1wjsshqjpl3n6zlscnfvyy9gxklkav2dvfyprfye6l0kewyvv6yj,SAFE,registered,388413.795,jolly-ocean-0bab2f303.azurestaticapps.net,https://jolly-ocean-0bab2f303.azurestaticapps.net/SAFE.json,SAFEBLOCK,,SINGLEPOOL,stake1u933nn88e9krh2a9dnntadvqyghv6usumgh2ekultwjtyeqcz7jsy,r0.eun.mainnet.safestak.com; r1.eun.mainnet.safestak.com
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1xrrrr8gldqz8pjxj6j8c638a9py04xuv66kfgn2dlsx9g52te0t,JP3,registered,16863042.935,tokyostaker.com,https://tokyostaker.com/metadata/jp3.json,YUTA,tokyostaker.com,YUTA,stake1ux9pqusvzl8r9d6lfz0dz0ahqmdv28rqq6mlacdxslekvgqme4d5p,europe1-relay.jpn-sp.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1x2h98z6e5xvrg5zw3v3dlu8hqdtj6lhp6r3w5ge7rvcqcx3pafq,KTN4,registered,11541547.189,katanapool.com,https://katanapool.com/metadata/ktn4.json,YUTA,katanapool.com,YUTA,stake1u9jnx8cfkcz5s578pqf7ymeuqpz0a40vdk0hvhp48fdhyngg9h84u,north-america.katanapool.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1nl74emh67vuyt8cgv6gwhjnrctxgrpqlrdzznj4l3lh5j8lj3ah,KTN,retired,0.000,katanapool.com,https://katanapool.com/metadata/ktn.json,,katanapool.com,YUTA,stake1uye3uhdndp8f5p073kwmymsv2scva3r5hr326djefhhx7kg4w7km8,asia-pacific.katanapool.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1k0xrqp03mn9u3q3sadndd6vu9udl5v38xpzyw0shm8sskuxw2av,JP2,registered,36888218.514,tokyostaker.com,https://tokyostaker.com/metadata/jp2.json,YUTA,tokyostaker.com,YUTA,stake1uxdu27ancdfkjeunuju8xu0ze7gnl9m44tandacqzq475gq3k0g3n,north-america-relay.jpn-sp.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1q66d2n39uvln4hazyzv8fyq977mpqus78sjd2369qfn7cptdeyh,KTN2,registered,6380261.289,katanapool.com,https://katanapool.com/metadata/ktn2.json,YUTA,katanapool.com,YUTA,stake1uxr38dn3d9r4xtgv3k8rex322jpp0cdwvrnuzssqqfe0lds34c3w8,europe-1.katanapool.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1llxh8l0h8g9ghz3nrzh7ndvev4x43vnk72nsemzm795vxqs6dp8,JP4,registered,10152741.624,tokyostaker.com,https://tokyostaker.com/metadata/jp4.json,YUTA,tokyostaker.com,YUTA,stake1uyen4h57njxv5gajc2dje3arvuyckkc4scqrjscqzyt5edghthrhr,europe2-relay.jpn-sp.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool19ejln2jcpg5dphc8m5nh8sya49sycsqj0v2cjxw6nku966cc8nu,POP,registered,14511877.687,popool.net,https://popool.net/metadata/pop.json,YUTA,popool.net,YUTA,stake1uxjt54nzvjyq0x3260yef5psm5pzllf33dxhgzlfsd5rgus22zqk0,asia-pacific-japan.popsp.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1pvu2zdexh8wr4ggmuz90jvqrua6an43qj9m9urs785p8kwjzqwl,KTN3,registered,37721883.996,katanapool.com,https://katanapool.com/metadata/ktn3.json,YUTA,katanapool.com,YUTA,stake1u8f83dlk7s58mpxc0j7xjja4jsrw3kn7zjjpn7t3s2w5qqq4yspud,europe-2.katanapool.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1etfar35l4tf6vam3gvqf5dnaq7levz32vgw4p00jzk7q7twg2te,POP2,registered,22731051.301,popool.net,https://popool.net/metadata/pop2.json,YUTA,popool.net,YUTA,stake1u8vs4338w6l5zj6xkmdrf6vw4shkjgn9zllyf3gx5g8jjucufza9j,europe-de.popsp.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1a600v0jd2z3yajazd80phln3exekumm7g56d9yvlrh6vx8dx2fc,POP3,registered,4949145.184,popool.net,https://popool.net/metadata/pop3.json,YUTA,popool.net,YUTA,stake1uxc8ddmlwsmc9uef89hphthy9fmzlwwcq2v888ktcw8srgs9j0w5l,north-america-california.popsp.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1gwnu7f7qgaruxph8gn3u28qphvquvnj63elyd3r0nndacj9g9pa,JAZZ2,registered,23554444.614,jazz2.neeup.com,https://jazz2.neeup.com/jazz2.json,YUTA,stake1ux2g76f0l7cv8g6ugzc3q54shlh57sqzad0tydysw7srqpq377vgr,YUTA,stake1u9hxzg5k74za7snqvs48d0lawnsajnggxr27vpgtuntpk7g3q920f,asia.jazzstakepool.net
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1supp67ypelmgzuzqqvarc6czgmg3ggwpnrnfr90xpfcqqf8h05t,1PCT,registered,4173995.505,www.1percentpool.eu,https://www.1percentpool.eu/1PCTv1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1uxkakvy0cgqwzj6nngdwng4ehnk6rvtjje8hf0zw36xuevgn533h9,r1.1percentpool.eu; r2.1percentpool.eu
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1h0524mtazrjnzqh5e4u060jsfk8lpsqqjfpa5gygjwuhqu34wvt,JAZZ,registered,25595707.099,jazz.neeup.com,https://jazz.neeup.com/jazz.json,YUTA,stake1ux2g76f0l7cv8g6ugzc3q54shlh57sqzad0tydysw7srqpq377vgr,YUTA,stake1u98zse5sg2cjd85p42pr6uc3ajwtvwrs723k29d32vsefaszqhqwp,asia.jazzstakepool.net
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1hsq2jrulgj97tna2femdhsfn2wurkkwt8uk9uvs42h9zs0a783p,JAZZ3,registered,23803695.615,jazz3.neeup.com,https://jazz3.neeup.com/jazz3.json,YUTA,stake1ux2g76f0l7cv8g6ugzc3q54shlh57sqzad0tydysw7srqpq377vgr,YUTA,stake1uy4chjz4mn4sn86hladlmf5urxhn04w836sm8gp00uu664s7703wk,asia.jazzstakepool.net
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a,1PCT0,registered,74312932.996,www.1percentpool.eu,https://www.1percentpool.eu/1PCT0v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1u9jvp3ztavcsyd0thp0g9l597a7s65cafed4psaxvmxpm9gsu5yqy,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1s3z5qsg75dar26ykyzcz2u8wc2swgq7pyp7f9sdh5n06qh3jhq2,1PCT1,registered,6024853.855,www.1percentpool.eu,https://www.1percentpool.eu/1PCT1v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1ux0agm9cx4hnln8t0hqghlnl7dzqqdmkwsn8g0vvyac2egqwjzvrq,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1z7n2ruhmxmv77f6cqhd3wsy6774h2wuay77agxuf2y9mj8q55vw,1PCT2,registered,52633494.879,www.1percentpool.eu,https://www.1percentpool.eu/1PCT2v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1uxzmj7c9vywsng2x46w9kerf6y33u8mfhcv4lrk8u0f304qcg967n,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool12mmcc4rc2fzfv7gyv8h06nvnsrm3m7erzdv8x6gzvjxlu2lf09n,1PCT3,registered,15649914.321,www.1percentpool.eu,https://www.1percentpool.eu/1PCT3v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1uxh55l4zvgf4gw4hdnmfy4x59jxrj6p3qhv3grm45n30w6gu0yf84,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1vnsfv2qpt5gxte9prupjey8kw7ap7t6c8lc02ks4s3gtqplhgd3,1PCT4,registered,12214911.371,www.1percentpool.eu,https://www.1percentpool.eu/1PCT4v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1u9dnvat2sf6wgq5a84tjxnhm28cgg9s5ygqa4zlq3wssztc5w5qra,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1rkyc3ss904h066sffergss99r9p2kqa4k6ds0g4u5ud4x7yaajd,1PCT5,registered,7343658.684,www.1percentpool.eu,https://www.1percentpool.eu/1PCT5v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1uyrrkcs5ty6t92d47lykd3qck60numwl9axuwl5562hyajc5plac9,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1ua0lx5ap5tj9f5l7tyjflp766ca5yu93djh5hqvm4e0kjgw5k7v,1PCT6,registered,5352045.760,www.1percentpool.eu,https://www.1percentpool.eu/1PCT6v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1u9yw5xptk4mant5z6dechev835z6yj8npx6ugthrj2l00dgun6us9,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1w8ham64lthvzzxzn5hknq4yrj8xt2nark409s2xmntlwvt4ag3r,1PCT7,registered,27889725.470,www.1percentpool.eu,https://www.1percentpool.eu/1PCT7v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1u8k3jkqhl76g3pmqxn93e54g452kkjlxnjwe54z2fuq52fgjsgatf,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1ddgcpgjcyawxw95se9x8qnc8gxgwjr4fqrk4vk6v9x47s0ggpjp,1PCT8,registered,5041698.079,www.1percentpool.eu,https://www.1percentpool.eu/1PCT8v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1u980y5zezjg8j0yddk7tk0mvg97cd2qa3lyaj8yqmt8wacc7yynh7,r1.1percentpool.eu; r2.1percentpool.eu
ONE_PERCENT,1PCT,declared_brand,High,Same operator cluster,pool1kkfkdces5mdcyc9dn2hgg3463jggjvw3h89nejjarkz25uavaqu,1PCT9,registered,16352301.596,www.1percentpool.eu,https://www.1percentpool.eu/1PCT9v1.metadata.json,1PCT,1percentpool.eu,1PCT,stake1u9fqu6dnrtd9k26w5uq0t98hdk9qyrdgqueuwq5xmsrr08csk072a,r1.1percentpool.eu; r2.1percentpool.eu
OCEAN,AdaOcean,declared_brand,High,Same operator cluster,pool1a2nh3ktswllhwf07fjahpdg5mpqyq7j950pyftq9765r6t4cefl,OCEAN,registered,35931773.534,adaocean.com,https://adaocean.com/poolmeta.json,OCEAN,adaocean.com,OCEAN,stake1u8js5hwxpyp28r5tk77vvz3lp8vpgg69w2ma7sxw5nsnxsq0zkds0,relay1.adaocean.com; relay2.adaocean.com; relay3.adaocean.com; relay4.adaocean.com; relay5.adaocean.com
WAVE,Wave / Wavepool,declared_brand,High,Same operator cluster,pool1g5gmej3cj67td4pmvmacnls8nuq0gjld2pwfeg3jwpxujdx6lmu,,registered,12241707.261,meta.wavepool.digital,https://meta.wavepool.digital/s1.json,WAVE,wavepool.digital,WAVE,stake1u85xr8070gfzp3zcjjhed0xwey46tqsnxdp29fkhup53rgg8xughu,relays.wavepool.digital
WAVE,Wave / Wavepool,declared_brand,High,Same operator cluster,pool1vafsg5t78rnx3qr3fv7ys9h50pnvxqhd4l8tj629l5zk7tc39ch,,registered,3167040.873,meta.wavepool.digital,https://meta.wavepool.digital/s2.json,WAVE,wavepool.digital,WAVE,stake1u8j96a0c69m7puw43k7ledldhxwajhzxulncvcgtnuwjkqc3v7thk,relays.wavepool.digital
OCEAN,AdaOcean,declared_brand,High,Same operator cluster,pool1ctzja2cdwyeqnvehmrlclc5wrn9w9acwklk3acn73jrx56d66vs,OCEA2,registered,40121343.877,adaocean.com,https://adaocean.com/poolmeta-two.json,OCEAN,adaocean.com,OCEAN,stake1u9qju0qmhagrvsr5llqd07wsnf628uuu5qgtdlmsht5756s8yt33y,relay1.adaocean.com; relay2.adaocean.com; relay3.adaocean.com; relay4.adaocean.com; relay5.adaocean.com
OCEAN,AdaOcean,declared_brand,High,Same operator cluster,pool1vc8jp7uagxgh8trzx7r260ndcydz89ges8sws05cyv7jj8q8gqs,OCEA3,registered,38741480.149,adaocean.com,https://adaocean.com/poolmeta-three.json,OCEAN,adaocean.com,OCEAN,stake1ux420xxh7xj9sg6uepn4qlfee6u5ms8draz68czjn4mpt7cr3q78j,relay1.adaocean.com; relay2.adaocean.com; relay3.adaocean.com; relay4.adaocean.com; relay5.adaocean.com
OCEAN,AdaOcean,declared_brand,High,Same operator cluster,pool1ell3xjtspzzz4vtsatscan6rheltf7j3hh2s8qsam2h3jvcxzm9,OCEA4,registered,46527951.494,adaocean.com,https://adaocean.com/poolmeta-four.json,OCEAN,adaocean.com,OCEAN,stake1uxleq7xze5uwwx82rjdpdfhpsw8655t2v5sdmgj9lz0f40q7te5rz,relay1.adaocean.com; relay2.adaocean.com; relay3.adaocean.com; relay4.adaocean.com; relay5.adaocean.com
OCEAN,AdaOcean,declared_brand,High,Same operator cluster,pool1s0cfkzheywsftgwp0yz7sq4rt5gyf7t5kfwj5a269kpxvndjn6q,OCEA5,registered,18815347.782,adaocean.com,https://adaocean.com/poolmeta-five.json,OCEAN,adaocean.com,OCEAN,stake1u96mtkajyk6rtlknr92x5ypmh3gd6kmyltpjh0fmvpaslwqzsrlc3,relay1.adaocean.com; relay2.adaocean.com; relay3.adaocean.com; relay4.adaocean.com; relay5.adaocean.com
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1p9sjhjx0v3k76wvgdqu7jcks2ra48wqlhc6g0mkewd25k3zcymy,WA2,registered,23315316.506,staking.cardanofun.com,https://staking.cardanofun.com/fun1.json,YUTA,staking.cardanofun.com,YUTA,stake1u8lu94nmku03jyjefv2tmge9mylehpjta87y5msxdz6560sf662tu,18.193.92.87; 3.6.124.226; 54.219.241.10
YUTA,YUTA,opaque_operational,Medium,Same managed cluster,pool1whk6lawmfz4zq5fw8zghglp23452gnm9zgs59nqafhpexwcvute,WA1,registered,20110398.623,staking.cardanofun.com,https://staking.cardanofun.com/fun.json,YUTA,staking.cardanofun.com,YUTA,stake1u858uahqw0we87zq2rp4ewslsmcr5rmkylgdtwyznr4gttqagrhpw,15.206.230.107; 35.154.123.251
