epoch_no,source,total_active_stake_ada,active_pool_count,0_ada_stake_ada,0_ada_pool_count,gt_0_1k_ada_stake_ada,gt_0_1k_ada_pool_count,1k_10k_ada_stake_ada,1k_10k_ada_pool_count,10k_100k_ada_stake_ada,10k_100k_ada_pool_count,100k_1m_ada_stake_ada,100k_1m_ada_pool_count,1m_10m_ada_stake_ada,1m_10m_ada_pool_count,10m_70m_ada_stake_ada,10m_70m_ada_pool_count,gt_70m_ada_stake_ada,gt_70m_ada_pool_count
210,local_history,6057875150.904302,721,137625749.74198,25,288509269.181839,92,61670703.748022944,78,2441063166.61884,191,2410764794.7749104,270,711260303.2037451,64,0.0,0,6981163.634977,1
211,local_history,10177811974.82288,882,667170015.1227881,34,140452964.87164706,124,198728083.63756397,102,2818451670.856901,235,3082798499.7994013,317,3264421087.2304845,69,5789653.304119,1,0.0,0
212,local_history,12106602864.871832,976,642871835.9737859,28,121745425.62957607,121,687112557.461042,121,3165796913.412931,276,3871723181.7356925,347,3587173024.2322283,81,29876517.456536,1,303408.970047,1
213,local_history,12758829109.784357,1017,641715472.5509839,27,138582720.34274504,125,694827319.8113396,141,2379883099.7765064,272,5109553930.112026,366,3794266567.190747,86,0.0,0,0.0,0
214,local_history,13382718156.0972,1057,677490805.699134,32,137218223.672286,136,800747414.336174,139,2494012125.413964,280,5392202271.370998,383,3881047315.604632,87,0.0,0,0.0,0
215,local_history,13864141914.846119,1095,661094951.596263,33,132276021.12851495,154,780492307.4208953,136,2667738048.2493873,293,5647552029.953396,390,3974988556.49764,89,0.0,0,0.0,0
216,local_history,14396547846.613792,1107,655553775.6870182,28,125259052.34844501,152,814775980.083514,144,2738904235.336911,305,5901642725.331762,389,4160412077.8261094,89,0.0,0,0.0,0
217,local_history,14776118270.469759,1119,659005756.085314,28,130285739.83704698,153,810097952.3519322,153,2806394784.0782704,304,6098262716.828064,388,4272071321.2891254,93,0.0,0,0.0,0
218,local_history,14987431249.067879,1119,661860374.926015,29,124557635.68702997,155,765940337.0201491,155,2779566236.0916204,293,6370088468.118365,394,4285418197.22468,93,0.0,0,0.0,0
219,local_history,15657991508.072977,1128,1149022863.1929512,29,123069365.68572897,156,773161146.9939003,158,2840074688.0016365,297,6444610588.409875,395,4328052855.788865,93,0.0,0,0.0,0
220,local_history,15859988643.309525,1134,1150059252.7812548,32,106829613.61881603,153,763082892.7299974,156,2870097019.2268977,299,6614554142.06201,401,4355365225.470224,92,497.420337,1,0.0,0
221,local_history,16064098678.859695,1140,1165723064.981617,29,101120145.54423195,157,790467333.2040273,159,2867771009.4248667,308,6736357173.10657,395,4402659952.598354,92,0.0,0,0.0,0
222,local_history,16371244779.82402,1146,1167008750.4767222,31,98287784.42475098,156,902643936.1312504,163,2881100121.456043,306,6829134003.066663,397,4493070184.268592,93,0.0,0,0.0,0
223,local_history,16743231852.83029,1154,1159237660.645827,32,94350246.28988895,165,914505402.2510314,161,2950574777.6954093,306,7078035889.313187,397,4546527876.634934,93,0.0,0,0.0,0
224,local_history,16980957495.734692,1158,1166773027.8815982,28,85061551.54153599,170,916353710.334223,162,3172261626.7496057,312,7031944210.133048,391,4575218931.235547,94,33344437.859118,1,0.0,0
225,local_history,17096070009.862858,1157,1168631054.456038,29,81093295.70818998,168,944179353.3618224,156,3233903938.0050235,318,6984733318.103092,388,4648155927.601887,96,35373115.851101,1,6.775676,1
226,local_history,17208683641.999035,1156,1058748178.545653,30,84549909.81442098,161,934105037.1996324,156,3314508391.5607915,320,7052318737.7534,390,4728771510.510718,97,35681871.35126,1,5.263142,1
