epoch_no,source,total_active_stake_ada,active_pool_count,lt_3m_ada_stake_ada,lt_3m_ada_pool_count,3m_10m_ada_stake_ada,3m_10m_ada_pool_count,10m_20m_ada_stake_ada,10m_20m_ada_pool_count,20m_30m_ada_stake_ada,20m_30m_ada_pool_count,30m_40m_ada_stake_ada,30m_40m_ada_pool_count,40m_50m_ada_stake_ada,40m_50m_ada_pool_count,50m_60m_ada_stake_ada,50m_60m_ada_pool_count,60m_70m_ada_stake_ada,60m_70m_ada_pool_count,gt_70m_ada_stake_ada,gt_70m_ada_pool_count
210,local_history,6057875150.904302,721,292257820.6144362,505,506559624.168525,95,490852789.12081194,36,360006671.187302,15,448114244.093875,13,624970775.697268,14,756011372.0669819,14,132064156.02616,2,2447037697.928951,27
211,local_history,10177811974.82288,882,393352114.9383817,616,578277565.103466,106,674361148.7411189,47,384346718.603319,16,317061699.716285,9,600976283.704165,13,774360227.271426,14,455291000.846783,7,5999785215.897958,54
212,local_history,12106602864.871832,976,425380410.5619363,673,644098259.839108,119,702715482.3606207,49,603977513.212103,26,316086918.168922,9,406332385.0529761,9,669963653.5989361,12,640160902.219265,10,7697887339.857968,69
213,local_history,12758829109.784357,1017,461791344.4649616,717,653521798.1963582,117,695842550.8595778,48,467520681.62031496,20,372954482.71570206,11,355264957.28920496,8,832175758.7832941,15,639635274.67255,10,8280122261.1823845,71
214,local_history,13382718156.0972,1057,452809409.4699833,758,573814454.4604491,106,674832355.6577889,50,534398188.5213131,22,454397958.91183794,13,401131829.78489006,9,831638728.0910491,15,572410267.490789,9,8887284963.709087,75
215,local_history,13864141914.846119,1095,440404792.1926608,820,475152875.49012804,84,611206587.3420812,45,580304095.910431,24,340364404.62250406,10,502773955.460755,11,709314301.556362,13,771081766.9069492,12,9433539135.36422,76
216,local_history,14396547846.613792,1107,403957998.4015621,831,475691945.774429,85,526231920.99166995,39,613972683.2809509,26,419084006.8847079,12,459999662.14752805,10,768645143.701142,14,590327640.4226581,9,10138636845.009115,81
217,local_history,14776118270.469759,1119,407633441.9535989,844,487150983.5535622,83,560516172.910198,40,524946601.39187706,22,487991588.499362,14,543188280.824248,12,730165248.2970989,13,587151552.647999,9,10447374400.3918,82
218,local_history,14987431249.067879,1119,421228786.771842,843,473647151.33826303,82,535793524.26833403,37,512975407.598465,22,584819740.726596,17,527532895.1706511,12,962413864.1275132,17,599700987.789361,9,10369318891.276838,80
219,local_history,15657991508.072977,1128,398196707.7081739,840,497228307.10985374,91,545685692.2597619,38,529714373.569205,22,640015035.0651481,18,551915533.4019719,12,564213346.245655,10,960154770.118059,15,10970867742.59513,82
