epoch_no,source,size_bucket,total_active_stake_ada,active_pool_count,0pct_stake_ada,0pct_pool_count,gt_0_0001pct_stake_ada,gt_0_0001pct_pool_count,0001pct_001pct_stake_ada,0001pct_001pct_pool_count,001pct_01pct_stake_ada,001pct_01pct_pool_count,01pct_1pct_stake_ada,01pct_1pct_pool_count,1pct_10pct_stake_ada,1pct_10pct_pool_count,10pct_50pct_stake_ada,10pct_50pct_pool_count,gt_50pct_stake_ada,gt_50pct_pool_count
210,local_history,10M-30M ADA,850859460.3081139,51,25973687.360368,1,60733176.54829,3,0.0,0,54692647.068485,4,222983835.19726798,13,439811017.3353539,27,46665096.798349,3,0.0,0
210,local_history,30M-70M ADA,1961160547.8842847,43,90182185.01821199,2,0.0,0,0.0,0,739373256.5505669,14,733153958.182142,17,398451148.13336396,10,0.0,0,0.0,0
210,local_history,3M-10M ADA,506559624.168525,95,14420987.707729999,3,12663412.311237,2,16493562.887763001,3,14080778.258772,2,50165358.071076006,9,257016774.07007,48,100648565.789556,19,41070185.072321,9
210,local_history,<3M ADA,292257820.6144362,505,7048889.655669999,19,466524.684047,1,8666316.192002,8,24289426.200714003,24,23605365.985651996,39,69768719.09588297,77,92250952.88914701,115,66161625.91132098,222
210,local_history,>70M ADA,2447037697.928951,27,0.0,0,171483111.426154,2,0.0,0,1119800210.4945161,12,870963335.365481,10,284791040.6428,3,0.0,0,0.0,0
211,local_history,10M-30M ADA,1058707867.3444378,63,40621117.542866,2,0.0,0,18046454.935408,1,124062367.603434,8,272962884.027461,15,534100822.31407297,32,68914220.921196,5,0.0,0
211,local_history,30M-70M ADA,2147689211.5386596,43,66908519.425018996,2,70211639.97659001,2,54765674.893085,1,780421458.593408,14,775218713.4386921,16,400163205.211865,8,0.0,0,0.0,0
211,local_history,3M-10M ADA,578277565.103466,106,9107932.554894,2,0.0,0,25058042.477863997,4,28112445.297327,5,62520535.527581,11,304062504.37311506,54,131993374.21948999,26,17422730.653195,4
211,local_history,<3M ADA,393352114.9383817,616,8554354.475625,23,3935359.751655,7,2848811.6504300004,4,28706241.701599997,39,50276206.608931005,77,121644153.11563198,135,143980774.00711,182,33406213.627398994,149
211,local_history,>70M ADA,5999785215.897958,54,541978091.124384,5,0.0,0,213377291.66061598,2,1276384965.143276,13,1710045360.080834,16,2257999507.888849,18,0.0,0,0.0,0
