epoch_no,source,total_active_stake_ada,gt70_pool_count,gt70_stake_ada,zero_pledge_gt70_pool_count,zero_pledge_gt70_stake_ada,very_low_pledge_gt70_pool_count,very_low_pledge_gt70_stake_ada,ge80sat_pool_count,ge80sat_stake_ada,zero_pledge_ge80sat_pool_count,zero_pledge_ge80sat_stake_ada,very_low_pledge_ge80sat_pool_count,very_low_pledge_ge80sat_stake_ada,zero_pledge_gt70_share_of_gt70_count_pct,zero_pledge_gt70_share_of_gt70_stake_pct,zero_pledge_gt70_share_of_total_active_stake_pct,very_low_pledge_gt70_share_of_gt70_count_pct,very_low_pledge_gt70_share_of_gt70_stake_pct,very_low_pledge_gt70_share_of_total_active_stake_pct,zero_pledge_ge80sat_share_of_ge80sat_count_pct,zero_pledge_ge80sat_share_of_ge80sat_stake_pct,very_low_pledge_ge80sat_share_of_ge80sat_count_pct,very_low_pledge_ge80sat_share_of_ge80sat_stake_pct
210,local_history,6057875150.904302,27,2447037697.928951,0,0.0,2,171483111.426154,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,7.4074074074074066,7.007783802075817,2.8307468733579877,0.0,0.0,0.0,0.0
211,local_history,10177811974.82288,54,5999785215.897958,5,541978091.124384,5,541978091.124384,3,737718096.542875,0,0.0,0,0.0,9.25925925925926,9.033291553308862,5.325094356872474,9.25925925925926,9.033291553308862,5.325094356872474,0.0,0.0,0.0,0.0
212,local_history,12106602864.871832,69,7697887339.857968,5,542003582.41244,8,1032475546.7852879,4,780983741.087932,0,0.0,1,201719697.528324,7.246376811594203,7.040939396528506,4.476925430379003,11.594202898550725,13.412453329101822,8.528201992824007,0.0,0.0,25.0,25.828924075592518
213,local_history,12758829109.784357,71,8280122261.1823845,5,541974188.94044,8,1031954000.489762,5,1005952226.9317989,0,0.0,1,197302120.406846,7.042253521126761,6.545485342423523,4.247836414117472,11.267605633802818,12.46302853917523,8.08815598680907,0.0,0.0,20.0,19.613468226878588
214,local_history,13382718156.0972,75,8887284963.709087,5,556150308.674394,9,1218249514.164647,8,1543709826.684578,0,0.0,2,368965788.741278,6.666666666666667,6.257820143558061,4.155735047151169,12.0,13.707780487959212,9.103154530752853,0.0,0.0,25.0,23.90123988092406
215,local_history,13864141914.846119,76,9433539135.36422,5,561266016.262812,9,1211036992.3451061,12,2357064497.071569,0,0.0,2,364322998.625163,6.578947368421052,5.949686625656237,4.048328556575091,11.842105263157894,12.837567904978528,8.735030265726675,0.0,0.0,16.666666666666664,15.45664104982278
216,local_history,14396547846.613792,81,10138636845.009115,5,561330735.497842,9,1226103299.903847,13,2620699918.3035975,0,0.0,2,372560237.05961,6.172839506172839,5.536550367460541,3.8990648416444667,11.11111111111111,12.093374273558416,8.516647969827282,0.0,0.0,15.384615384615385,14.21605863599872
217,local_history,14776118270.469759,82,10447374400.3918,5,561718498.455058,9,1226155789.605409,15,2961942021.069032,0,0.0,2,371620894.34292495,6.097560975609756,5.376647537720025,3.801529523336713,10.975609756097562,11.736497062452605,8.298226686882273,0.0,0.0,13.333333333333334,12.546528314851974
218,local_history,14987431249.067879,80,10369318891.276838,5,563110762.3384789,8,1094734276.395789,16,3156691620.082867,0,0.0,2,373920110.19146097,6.25,5.43054725428682,3.7572199864036127,10.0,10.55743668291204,7.304348945479728,0.0,0.0,12.5,11.845316400644961
219,local_history,15657991508.072977,82,10970867742.59513,6,1050349248.34139,9,1582313615.295404,17,3606385719.129899,1,486514766.981074,3,859518266.89077,7.317073170731707,9.573985148534227,6.7080713883377,10.975609756097562,14.422866562796715,10.105469877663376,5.88235294117647,13.490369718368722,17.647058823529413,23.833231768068977
220,local_history,15859988643.309525,85,11129586848.319107,8,1050809327.0327219,11,1592446878.4740043,15,2933341029.879216,0,0.0,2,382668885.632398,9.411764705882353,9.441584322525188,6.62553644056991,12.941176470588237,14.30822994758795,10.040655855991245,0.0,0.0,13.333333333333334,13.045495962948259
221,local_history,16064098678.859695,89,11521284771.386747,8,1050898699.4879729,12,1677786314.601029,16,3128222750.5402527,0,0.0,2,392365915.436098,8.98876404494382,9.121367280998841,6.54190888948505,13.48314606741573,14.562493227906595,10.44432276059777,0.0,0.0,12.5,12.542774179630761
222,local_history,16371244779.82402,91,11857881077.694956,8,1052492580.015675,13,1835313660.030024,15,2800132764.304323,0,0.0,2,356007240.053866,8.791208791208792,8.875890836816085,6.428909922065124,14.285714285714285,15.477585312289111,11.210593236574601,0.0,0.0,13.333333333333334,12.713941445641202
223,local_history,16743231852.83029,87,11315416032.474295,8,1053272144.8578199,13,1836276090.136403,11,2090105566.083738,0,0.0,2,352907882.741655,9.195402298850574,9.308293586687553,6.2907337968910335,14.942528735632186,16.228091701325383,10.967273858935409,0.0,0.0,18.181818181818183,16.884691781521052
224,local_history,16980957495.734692,90,11704445898.189156,8,1053490170.2597679,13,1848173984.4891362,13,2444536627.7977266,0,0.0,2,352988959.187276,8.88888888888889,9.000769275397804,6.203950339810847,14.444444444444443,15.790358642907437,10.883803136268163,0.0,0.0,15.384615384615385,14.439912872374606
225,local_history,17096070009.862858,90,11770521559.55319,8,1053926396.370178,13,1848506536.9920483,13,2455386113.777389,0,0.0,2,353292599.901392,8.88888888888889,8.953948141021757,6.164729062071923,14.444444444444443,15.704542297802968,10.812464712215323,0.0,0.0,15.384615384615385,14.388474298157666
226,local_history,17208683641.999035,88,11731758017.748495,7,943254741.8153129,12,1738196050.6383252,13,2481595416.51367,0,0.0,2,353138328.290248,7.954545454545454,8.040182386887809,5.481271905732705,13.636363636363635,14.81616010156943,10.100691527596755,0.0,0.0,15.384615384615385,14.2302941865666
227,local_history,17260167504.45439,88,11608473533.295637,8,1054605797.307758,13,1848370118.705913,13,2482265341.9566708,0,0.0,2,353345514.732008,9.090909090909092,9.084793054684738,6.110055403782103,14.772727272727273,15.92259407237639,10.708877061760251,0.0,0.0,15.384615384615385,14.234800315645538
228,local_history,17348591975.63094,89,11790950084.406998,8,1054046962.4866139,13,1846988591.356783,15,2841956631.7629843,0,0.0,2,353716745.49928904,8.98876404494382,8.939457422354316,6.0756916985955,14.606741573033707,15.664459421292456,10.646331379233507,0.0,0.0,13.333333333333334,12.44624008494682
229,local_history,19510155416.09179,107,13995653775.330534,15,2104518220.7235231,27,3940761708.850169,12,2235002749.180349,0,0.0,2,354008832.98243797,14.018691588785046,15.036941142635696,10.786783476812985,25.233644859813083,28.15703912164761,20.198515208135486,0.0,0.0,16.666666666666664,15.839301902973721
230,local_history,19636382936.67074,105,13615573059.890722,15,2105004993.050333,23,3326567607.987397,12,2232907424.176135,0,0.0,1,171545679.76726,14.285714285714285,15.460274670710245,10.719922298516895,21.904761904761905,24.432079306209502,16.940836908283487,0.0,0.0,8.333333333333332,7.682614957964698
231,local_history,19907907769.885452,104,13071933929.744822,15,2105370304.864162,23,3327012204.767524,11,2021015579.0743241,0,0.0,1,171624951.291027,14.423076923076922,16.10603538986263,10.575547813462046,22.115384615384613,25.451568395683218,16.71201335280582,0.0,0.0,9.090909090909092,8.492015255500185
232,local_history,19977393570.330807,98,12046291263.269053,15,2107409710.3580909,23,3329818016.2080975,9,1665176804.6351209,0,0.0,1,171739338.991783,15.306122448979592,17.494261630414822,10.54897228178898,23.46938775510204,27.64185211394657,16.66793020063107,0.0,0.0,11.11111111111111,10.313579826102314
233,local_history,19917513128.733887,92,10844728479.333721,12,1620797847.1610932,20,2844066980.2737284,7,1271924732.854682,0,0.0,1,171878756.710576,13.043478260869565,14.945490338921532,8.137551293102243,21.73913043478261,26.225340594681835,14.279227340740402,0.0,0.0,14.285714285714285,13.513280485144339
234,local_history,20094293921.5112,63,7655711202.428747,12,1622085174.183292,19,2674094564.8927593,183,14781051898.559912,22,2172405374.1543202,32,3400842242.260182,19.047619047619047,21.187909670217067,8.07236711336659,30.158730158730158,34.92940752577517,13.30773091773136,12.021857923497267,14.697231219152767,17.48633879781421,23.00812056949424
235,local_history,20218109006.931637,49,6235740301.145017,7,1052614583.790746,14,2105357239.3473098,190,14502908362.108889,22,1893305786.3358872,31,3067605431.559448,14.285714285714285,16.880346726393707,5.206295917337593,28.57142857142857,33.76274728696961,10.413225285438429,11.578947368421053,13.054662823923262,16.315789473684212,21.15165699849587
